is_male,is_loyal_customer,age,is_business_travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes
1,1,27,0,Eco,460,3,3,3,3,4,3,4,4,2,1,3,3,3,4,0,19.0
0,1,66,1,Business,101,2,3,3,3,2,3,3,2,2,2,2,2,2,1,0,0.0
0,0,38,1,Business,337,2,2,2,1,1,2,1,1,4,4,4,5,4,1,0,0.0
0,1,33,1,Business,515,3,3,3,3,4,2,5,4,4,4,4,5,4,1,0,0.0
0,1,34,1,Business,459,4,4,2,4,2,4,4,5,5,5,5,5,5,4,0,0.0
0,1,27,0,Eco,468,1,3,4,4,2,4,2,2,4,3,3,4,4,2,41,48.0
0,0,22,1,Business,522,0,1,0,5,1,1,1,1,3,3,5,4,4,1,0,0.0
1,1,59,1,Eco,391,3,2,2,2,3,3,3,3,4,2,4,1,3,3,0,0.0
0,1,17,1,Business,258,2,3,3,3,2,2,2,2,4,5,3,4,3,2,0,0.0
1,1,50,1,Business,1587,3,3,3,3,2,5,4,4,4,4,4,4,4,4,0,0.0
0,1,36,1,Business,3179,2,2,2,2,3,5,5,4,4,4,4,3,4,5,11,7.0
1,1,16,0,Eco,899,3,5,3,2,3,3,5,3,4,5,5,5,4,3,0,0.0
1,1,8,0,Eco,1010,4,4,4,1,4,4,4,4,5,2,1,5,5,4,0,0.0
1,1,18,0,Business,606,3,4,3,1,4,3,4,4,5,3,4,5,4,4,15,5.0
1,1,52,1,Business,2861,3,3,3,3,3,5,4,5,5,5,5,3,5,4,28,50.0
1,1,49,0,Eco,1390,4,4,4,4,5,4,2,5,5,3,5,4,4,5,0,0.0
1,1,16,1,Business,1532,3,3,3,3,5,5,5,5,5,4,5,4,5,5,0,0.0
0,1,43,1,Business,1587,4,4,4,4,2,4,4,5,5,5,5,4,5,4,0,0.0
0,0,26,1,Eco Plus,1721,3,2,3,3,5,3,5,5,2,2,3,2,3,5,13,9.0
1,0,25,1,Business,644,2,5,3,2,3,3,3,3,3,5,5,4,4,3,0,0.0
0,1,37,1,Business,306,4,1,1,1,3,3,3,4,4,4,4,2,4,2,0,0.0
1,1,24,0,Eco,1345,4,4,4,3,5,4,2,5,5,1,5,5,4,5,26,33.0
0,1,69,0,Business,337,2,5,2,3,2,5,5,2,2,2,2,5,2,5,0,17.0
0,1,31,1,Business,1547,2,4,4,4,2,2,2,2,3,5,3,4,4,2,0,6.0
0,1,30,1,Business,2402,4,4,4,4,5,5,5,5,2,4,5,2,2,5,8,0.0
1,1,18,1,Business,3581,2,2,2,2,5,5,5,5,1,5,2,3,4,5,0,2.0
0,1,50,1,Business,1769,1,1,1,1,2,5,4,4,4,4,5,3,4,4,0,4.0
0,1,59,1,Business,2218,4,4,4,4,3,5,5,5,5,5,5,5,5,4,0,0.0
0,1,34,1,Business,1849,4,5,5,5,2,4,4,4,4,4,4,2,4,2,0,8.0
0,1,45,1,Business,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0
1,1,60,1,Business,236,0,1,1,4,3,4,4,4,4,4,4,5,4,3,13,3.0
1,1,79,1,Business,408,2,2,2,2,5,3,3,2,2,2,2,4,2,1,0,8.0
1,1,51,1,Business,2519,0,1,1,1,3,5,4,3,3,3,3,3,3,3,0,0.0
0,1,11,0,Eco,1670,2,0,2,3,1,2,1,1,3,1,4,4,2,1,0,0.0
1,1,59,0,Eco,594,3,5,3,3,5,3,5,5,4,4,5,3,5,5,0,0.0
0,1,47,1,Business,3939,2,2,2,2,3,1,1,2,2,3,2,3,2,2,35,34.0
1,1,57,1,Business,1595,3,3,3,3,3,5,5,5,5,5,5,4,5,5,63,73.0
1,0,25,1,Eco,1121,2,3,3,3,4,3,4,4,3,2,4,5,4,4,0,0.0
1,1,25,1,Business,1005,3,2,2,2,3,3,3,3,3,4,3,4,4,3,0,0.0
0,1,18,0,Eco Plus,1721,3,3,3,3,2,3,2,2,2,4,3,4,3,2,0,0.0
1,1,31,0,Eco,853,2,4,2,4,2,2,2,2,5,5,4,3,4,2,0,0.0
1,0,38,1,Business,361,2,2,2,4,3,2,3,3,3,3,4,4,4,3,0,0.0
0,1,49,1,Business,2952,3,3,3,3,3,4,5,2,2,2,2,4,2,1,0,1.0
0,1,68,0,Eco,523,3,5,3,2,2,3,5,2,2,3,3,5,2,5,10,0.0
1,1,43,1,Business,2863,4,4,2,4,4,5,3,5,5,5,5,3,5,3,0,0.0
0,1,21,1,Eco Plus,2454,5,3,3,3,5,5,5,5,1,4,5,1,4,5,0,0.0
1,1,40,1,Business,1576,3,3,3,3,3,5,5,5,5,5,5,3,5,4,0,0.0
0,1,53,1,Business,1855,2,2,2,2,4,5,4,3,3,4,3,3,3,4,3,5.0
0,0,22,1,Business,1171,4,0,4,3,2,4,2,2,4,4,5,5,5,2,0,0.0
1,1,12,0,Eco,201,2,2,2,4,2,2,2,2,3,4,4,3,3,2,0,0.0
0,1,43,0,Eco,516,1,4,1,1,2,2,1,4,4,1,4,1,4,3,5,0.0
1,1,9,0,Eco,190,2,4,2,1,3,2,4,3,3,2,4,5,5,3,0,0.0
1,1,9,0,Eco,937,3,3,3,4,1,3,1,1,1,1,4,2,3,1,0,1.0
0,1,60,1,Business,3866,4,4,4,4,4,4,4,5,5,5,5,4,5,3,0,0.0
0,1,43,1,Eco,503,2,2,2,2,1,3,3,2,2,2,2,2,2,2,21,23.0
1,1,28,0,Eco,575,1,4,1,4,4,1,1,4,5,3,5,5,5,4,0,0.0
1,1,27,0,Eco,983,3,4,3,1,1,3,2,1,5,2,5,4,5,1,0,0.0
1,1,43,1,Eco Plus,562,3,2,2,2,4,3,4,4,3,3,4,3,4,4,0,0.0
0,0,18,1,Eco,1076,2,2,2,1,5,2,5,5,2,5,1,4,3,5,0,0.0
0,1,40,1,Business,2283,4,1,2,1,2,4,3,4,4,4,4,1,4,1,1,0.0
1,1,41,1,Business,2299,2,2,2,2,5,4,5,4,4,4,4,4,4,5,0,4.0
0,0,28,1,Eco,950,3,3,3,3,5,3,5,5,5,1,2,5,5,5,0,0.0
0,1,32,1,Business,315,1,1,1,1,5,5,5,5,2,4,4,5,4,5,5,0.0
0,1,49,0,Eco,689,3,3,2,3,1,3,2,4,4,2,4,4,4,1,0,0.0
0,1,47,0,Eco,2496,2,2,2,4,2,3,3,2,2,3,3,3,1,3,0,0.0
1,1,25,0,Eco,200,3,1,0,2,2,0,2,2,4,4,3,2,3,2,0,4.0
1,1,45,1,Business,1174,4,4,4,4,4,5,4,4,4,4,4,4,4,3,12,3.0
1,1,50,1,Business,160,2,2,2,2,2,5,5,5,5,5,5,4,5,4,65,67.0
1,1,57,1,Business,971,4,4,4,4,4,4,5,3,3,4,3,4,3,3,8,0.0
1,1,60,1,Business,2889,5,5,5,5,5,4,4,5,5,5,5,4,5,4,0,0.0
0,1,47,1,Business,1389,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0.0
0,1,52,1,Eco,1197,2,4,4,4,1,4,3,2,2,2,2,1,2,2,21,24.0
1,1,33,1,Eco Plus,214,0,0,0,4,2,0,2,2,1,1,3,2,4,2,0,0.0
1,1,51,1,Business,1337,1,1,1,1,4,5,4,5,5,5,5,5,5,4,0,0.0
1,1,48,1,Business,1881,4,4,4,4,2,5,5,4,4,4,4,5,4,4,0,0.0
1,1,53,0,Eco,991,1,5,1,3,2,1,2,2,4,5,5,4,4,2,60,60.0
0,1,37,0,Eco,862,2,4,2,4,1,2,1,1,5,5,4,3,5,1,4,0.0
0,1,56,0,Eco Plus,500,3,4,3,3,3,5,4,3,3,3,3,5,3,4,0,0.0
0,0,42,1,Eco,370,3,3,3,2,2,3,2,2,2,3,3,3,3,2,17,13.0
1,1,24,1,Business,3516,1,1,1,1,2,2,2,2,5,5,4,4,5,2,0,6.0
1,1,65,0,Eco,448,2,1,2,3,5,2,5,5,2,4,3,3,3,5,11,28.0
0,1,38,1,Eco,2475,3,2,2,2,3,5,3,3,2,4,3,4,3,3,0,0.0
0,1,69,1,Business,3662,3,5,5,5,1,3,4,3,3,3,3,1,3,3,0,0.0
1,1,54,0,Eco,735,2,4,2,4,5,2,5,5,3,5,4,3,5,5,0,0.0
0,1,68,1,Business,391,4,4,4,4,2,5,4,4,4,4,4,3,4,4,12,11.0
1,1,31,0,Eco,921,3,4,2,2,4,2,4,4,3,3,4,5,4,4,0,0.0
1,1,60,1,Business,764,4,4,4,4,2,5,4,4,4,4,4,4,4,5,0,0.0
0,1,35,1,Eco,1500,3,1,5,1,3,3,3,3,4,5,3,1,3,3,0,0.0
0,0,39,1,Eco,102,2,0,2,3,5,2,5,5,2,5,2,3,2,5,0,0.0
0,1,42,1,Business,2419,3,3,3,3,2,4,5,5,5,5,5,3,5,4,0,0.0
0,1,34,1,Business,1074,3,3,3,3,2,5,1,3,3,4,3,1,3,5,34,1.0
1,1,49,1,Business,1121,3,3,3,3,3,5,4,4,4,4,4,4,4,4,0,0.0
0,1,61,0,Eco,106,3,4,3,4,2,1,1,5,5,3,5,1,5,1,50,51.0
0,1,69,1,Eco,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0
1,0,29,1,Business,2342,2,2,2,1,4,2,4,4,3,5,3,3,4,4,0,0.0
0,0,37,1,Business,594,5,4,4,2,3,4,5,3,4,5,4,5,4,3,124,109.0
0,0,35,1,Eco,789,2,2,2,3,1,2,1,1,2,4,4,4,4,1,31,22.0
1,1,26,1,Business,872,1,1,1,1,4,4,4,4,2,1,5,5,5,4,101,110.0
0,1,43,1,Business,197,0,5,1,4,2,4,5,2,2,2,2,3,2,3,1,0.0
1,1,25,1,Business,2822,2,1,4,1,2,2,2,2,3,1,4,3,4,2,0,0.0
1,0,35,1,Business,1117,2,2,2,1,2,2,5,2,2,2,3,2,2,2,0,0.0
1,0,35,1,Eco,954,3,3,3,4,4,3,4,4,2,3,4,2,5,4,0,7.0
1,1,37,1,Business,101,4,4,4,4,2,4,4,5,5,5,3,3,5,5,0,0.0
1,1,49,0,Eco,422,3,4,3,3,3,3,3,3,5,1,3,5,4,3,0,0.0
0,1,18,0,Eco,134,2,4,2,4,5,2,5,5,2,4,3,3,4,5,0,0.0
1,1,51,1,Business,550,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0
0,1,51,0,Eco,270,3,3,3,5,1,2,2,1,1,3,1,4,1,5,0,0.0
0,1,35,1,Eco,587,4,4,4,4,4,4,4,4,3,4,4,3,1,4,7,0.0
0,1,12,0,Business,925,2,2,2,4,3,2,3,3,3,5,3,1,4,3,0,0.0
1,0,20,1,Business,224,5,3,5,2,4,5,3,4,3,5,5,3,4,4,0,0.0
0,1,58,1,Business,3068,1,1,1,1,2,5,5,4,4,5,4,4,4,5,2,1.0
0,1,29,0,Eco,479,4,2,4,3,5,4,5,5,3,1,3,3,4,5,0,0.0
1,1,42,1,Business,86,2,4,4,4,3,2,3,3,3,3,2,2,3,4,34,63.0
1,1,49,1,Business,187,1,1,1,1,3,1,5,5,5,5,3,5,5,4,11,0.0
1,0,62,1,Eco,813,2,2,2,3,5,2,5,5,3,1,3,4,2,5,0,0.0
1,0,28,1,Eco,666,4,2,4,2,3,4,3,3,3,5,3,2,3,3,0,45.0
1,1,49,1,Business,1807,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0.0
1,1,23,0,Eco,680,1,5,0,3,3,0,3,3,4,4,4,5,5,3,0,0.0
1,1,32,0,Business,496,4,4,5,5,3,5,5,3,3,3,4,5,4,3,0,0.0
0,1,35,1,Business,3983,3,3,3,3,2,4,5,4,4,4,4,3,4,5,0,0.0
0,1,54,1,Business,936,3,3,2,3,2,5,4,5,5,5,5,5,5,4,2,0.0
0,1,33,0,Eco,409,1,5,1,5,4,1,4,4,4,1,5,2,4,4,0,0.0
0,1,39,1,Business,3537,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0.0
0,1,58,1,Business,1829,3,3,3,3,5,3,4,5,5,5,5,3,5,3,0,0.0
1,1,56,1,Business,1488,4,4,4,4,2,4,4,4,4,4,4,4,4,3,73,91.0
1,1,19,0,Eco,546,1,5,3,4,5,3,5,5,4,3,1,4,4,5,13,0.0
0,1,39,1,Business,2753,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,0.0
1,1,55,1,Business,2934,4,4,4,4,5,4,5,4,4,4,4,3,4,3,0,0.0
1,0,30,1,Business,1995,1,1,1,3,4,1,5,4,3,2,4,5,5,4,7,14.0
0,1,29,1,Business,1949,3,1,1,1,3,3,3,3,2,5,4,2,3,3,0,0.0
1,1,33,1,Eco Plus,1107,3,5,5,5,3,3,3,3,2,1,3,1,4,3,3,0.0
0,1,36,0,Eco,83,4,4,4,3,5,4,1,5,4,3,3,3,4,5,0,0.0
1,1,15,1,Eco Plus,1188,3,3,3,3,3,3,2,3,1,4,3,4,4,3,50,40.0
0,1,40,1,Business,534,4,4,3,4,3,3,2,4,4,4,4,1,4,1,0,0.0
1,1,50,1,Business,3114,4,4,4,4,5,5,4,5,5,5,4,3,5,3,0,6.0
1,1,15,1,Business,3300,5,1,5,5,4,4,4,4,3,3,5,5,4,4,0,0.0
1,1,39,1,Business,2227,1,1,2,1,5,4,5,5,5,5,5,3,5,4,11,0.0
1,0,24,1,Eco,496,4,3,4,1,2,4,2,2,5,3,5,4,2,2,0,0.0
0,1,59,1,Eco,423,2,4,4,4,4,3,4,2,2,2,2,4,2,3,23,12.0
1,1,46,1,Business,2388,1,1,1,1,4,5,5,2,2,2,2,3,2,3,0,0.0
1,1,56,0,Eco,968,3,4,3,1,5,3,5,5,3,2,4,4,4,5,0,0.0
0,1,45,1,Business,1773,2,2,2,2,4,3,4,3,3,3,3,4,3,4,1,0.0
0,1,53,1,Business,1703,3,3,3,3,5,5,4,5,5,5,5,4,5,4,0,0.0
0,1,41,1,Business,3170,2,2,2,2,2,4,4,5,5,5,5,4,5,5,0,0.0
0,1,40,1,Business,2291,1,1,1,1,5,4,5,5,5,5,5,5,5,3,0,0.0
1,1,31,1,Business,500,3,3,3,3,3,3,3,3,1,5,4,2,4,3,0,0.0
1,1,40,0,Eco,370,3,2,3,1,4,3,4,4,4,1,1,1,2,4,0,0.0
0,1,34,1,Business,3362,1,1,1,1,3,3,5,5,5,5,5,1,5,2,0,17.0
1,1,70,0,Eco,2075,3,4,3,4,4,3,2,4,3,2,4,5,4,4,0,0.0
1,1,48,0,Eco Plus,266,2,0,2,4,2,2,1,2,1,2,3,4,3,2,0,0.0
0,1,37,1,Business,787,1,1,1,1,4,5,5,4,4,4,4,5,4,5,0,0.0
1,1,40,1,Eco,228,4,3,5,3,4,4,4,4,3,4,3,3,4,4,0,0.0
1,1,55,0,Eco Plus,325,3,4,3,3,4,3,4,4,4,4,4,4,3,4,0,0.0
0,1,40,1,Business,844,5,5,5,5,4,5,3,3,3,4,3,1,3,3,4,0.0
0,1,27,0,Eco,1979,3,3,3,3,3,3,3,3,5,2,1,1,4,3,0,0.0
0,0,22,1,Eco,1214,3,3,3,4,4,3,2,4,1,5,3,4,4,4,14,2.0
1,0,36,1,Eco,255,2,1,3,4,4,3,4,4,4,4,3,1,3,4,0,0.0
0,0,26,1,Eco Plus,416,1,0,1,2,2,1,4,2,2,3,2,4,4,2,97,102.0
0,1,27,1,Eco Plus,622,2,2,2,2,2,2,2,2,1,3,3,3,4,2,11,2.0
1,1,46,1,Business,2805,2,1,1,1,5,4,4,2,2,2,2,4,2,3,96,111.0
0,1,59,0,Eco Plus,605,2,3,2,1,5,3,4,2,2,2,2,2,2,5,0,0.0
1,0,22,1,Eco,227,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0.0
1,1,45,1,Business,1546,1,1,1,1,4,4,5,4,4,4,4,5,4,4,17,15.0
0,1,28,1,Business,237,5,5,5,5,4,4,4,4,4,4,4,3,5,4,0,0.0
1,1,39,0,Eco Plus,992,4,4,4,4,2,4,2,2,4,4,4,3,3,2,0,3.0
1,1,36,1,Eco,201,4,5,5,5,4,4,4,4,2,5,1,1,4,4,0,0.0
0,0,48,1,Eco,708,2,2,2,5,2,2,2,2,2,3,4,2,5,2,31,20.0
0,1,51,0,Eco,761,2,4,2,2,4,4,5,3,3,2,3,4,3,5,1,0.0
0,1,41,1,Eco Plus,1674,5,5,3,5,5,5,1,5,5,5,5,4,5,4,0,0.0
1,1,45,0,Eco Plus,86,2,5,2,4,3,2,3,3,3,2,4,4,3,3,0,0.0
1,0,21,1,Eco,425,2,5,2,3,5,2,5,5,5,4,5,5,4,5,0,2.0
0,1,50,1,Business,1609,2,3,3,3,3,2,3,2,2,2,2,1,2,4,0,0.0
1,1,48,1,Business,1028,5,5,5,5,3,4,4,5,5,5,5,2,5,4,0,0.0
1,1,39,1,Business,3692,1,1,1,1,2,5,4,2,2,2,2,5,2,4,0,0.0
0,1,25,1,Business,2680,3,3,3,3,4,4,4,4,3,4,4,3,4,4,0,0.0
1,0,25,1,Business,438,4,0,4,3,2,4,2,2,4,3,4,3,5,2,8,1.0
0,1,45,1,Eco,182,4,5,5,5,5,1,5,4,4,4,4,2,4,3,0,0.0
0,1,42,1,Business,1979,3,5,5,5,3,3,2,3,3,3,3,1,3,3,9,13.0
0,1,63,0,Business,216,3,1,3,4,2,3,4,3,3,3,3,3,3,1,0,0.0
1,1,13,0,Eco,163,3,5,3,1,4,3,4,4,4,2,3,4,1,4,0,0.0
1,1,39,1,Business,299,3,3,3,3,2,5,5,5,5,5,5,4,5,5,15,7.0
1,1,46,1,Business,620,5,5,5,5,1,4,1,4,4,4,4,2,4,4,30,39.0
0,1,49,0,Eco,236,2,5,2,4,3,4,4,2,2,2,2,4,2,5,9,1.0
0,0,25,1,Eco,821,3,3,3,2,2,3,2,2,2,5,3,4,3,2,0,5.0
1,1,18,0,Business,749,3,2,3,3,2,3,2,2,4,2,3,1,4,2,16,9.0
1,1,41,1,Business,1582,1,1,1,1,5,4,4,5,5,5,5,5,5,4,0,0.0
0,1,38,1,Business,3543,4,4,4,4,2,5,5,5,5,5,5,4,5,3,3,1.0
1,1,34,1,Business,1618,4,4,4,4,5,3,5,5,5,5,5,4,5,4,37,11.0
0,1,39,1,Eco,391,4,5,5,5,4,4,4,4,5,1,2,4,4,4,0,0.0
1,1,46,0,Eco,913,3,4,3,2,5,3,5,5,3,2,1,2,4,5,0,0.0
0,1,23,1,Business,1747,1,0,0,3,2,0,3,2,2,2,2,2,3,2,59,26.0
1,1,70,1,Business,1582,3,4,4,4,4,3,3,3,3,3,3,4,3,2,0,0.0
1,0,37,1,Eco,89,2,0,2,1,3,2,1,3,5,1,4,2,2,3,0,0.0
0,0,21,1,Eco,689,3,3,3,3,5,3,5,5,3,1,3,4,4,5,0,0.0
1,1,24,0,Eco,500,4,3,4,3,1,4,1,1,2,1,4,2,3,1,0,0.0
0,1,49,1,Eco,205,1,5,5,5,4,1,1,1,1,1,1,4,1,2,21,7.0
1,0,20,1,Business,214,2,1,2,2,4,2,3,4,4,1,2,4,3,4,0,0.0
0,1,49,1,Eco Plus,1014,4,1,1,1,4,4,4,2,4,1,2,4,1,4,180,206.0
0,1,43,1,Business,221,1,5,5,5,4,4,4,2,2,2,1,4,2,3,0,0.0
1,1,36,1,Business,2054,2,5,4,5,1,3,3,1,1,1,2,2,1,4,0,0.0
0,1,47,1,Business,409,3,3,3,3,3,4,5,4,4,4,4,4,4,5,0,0.0
1,1,53,1,Eco,321,3,5,5,5,3,3,3,3,4,5,4,1,3,3,17,3.0
0,0,43,1,Business,577,2,2,2,5,3,2,3,3,4,4,4,3,4,3,0,0.0
1,1,46,1,Eco,451,3,5,5,5,3,3,3,3,1,3,1,4,1,3,10,21.0
1,1,61,0,Eco,731,1,2,1,3,5,1,5,5,1,1,2,2,3,5,45,29.0
0,0,37,1,Eco,887,2,2,2,4,5,2,5,5,3,3,4,2,3,5,9,0.0
0,1,45,1,Business,1685,4,4,4,4,4,4,4,3,3,3,3,3,3,4,12,0.0
0,1,61,0,Eco,677,2,4,2,4,4,3,4,5,5,2,5,4,5,2,28,23.0
1,1,36,1,Business,2556,3,3,3,3,4,4,4,4,2,4,5,4,4,4,6,9.0
1,1,62,0,Eco Plus,247,2,4,2,3,5,2,5,5,3,2,5,5,5,5,9,10.0
1,1,50,1,Business,2176,1,1,1,1,2,4,5,5,5,5,5,5,5,3,84,101.0
1,1,17,0,Eco,368,1,4,2,4,4,2,4,4,1,3,3,2,4,4,0,0.0
0,1,62,0,Business,341,2,5,2,3,3,5,5,4,4,2,4,4,4,4,0,0.0
1,0,23,1,Eco,771,1,1,1,1,4,1,1,4,3,5,2,4,4,4,7,21.0
1,1,43,1,Business,1020,3,1,1,1,2,3,3,3,3,3,3,1,3,3,24,5.0
1,1,49,0,Eco,1069,4,5,4,1,5,4,5,5,5,4,4,4,5,5,4,0.0
1,1,28,0,Eco,507,4,1,4,2,3,4,3,3,2,3,3,1,3,3,6,4.0
0,1,40,0,Business,109,3,4,3,3,1,4,3,4,4,3,5,2,4,4,0,0.0
1,0,27,1,Eco,1059,4,4,4,4,2,4,2,2,1,1,4,2,3,2,6,18.0
0,0,37,1,Eco,251,3,2,3,3,3,3,3,3,4,3,3,1,4,3,0,0.0
0,1,55,0,Eco,473,2,3,2,3,1,1,1,2,2,2,2,4,2,4,0,0.0
0,1,47,1,Business,2334,1,1,1,1,2,5,5,5,5,5,5,3,5,3,0,0.0
0,1,31,1,Eco Plus,2446,4,2,2,2,4,3,4,4,2,1,2,1,3,4,4,0.0
0,0,26,1,Business,1184,4,4,4,2,5,4,2,5,5,3,4,5,4,5,78,74.0
0,1,30,0,Eco,668,1,5,1,4,2,1,2,2,3,5,4,5,5,2,1,0.0
0,0,30,1,Business,1521,2,2,2,3,4,2,4,4,4,2,4,5,5,4,10,0.0
0,0,24,1,Eco,787,2,2,2,1,4,2,4,4,5,5,5,3,5,4,6,0.0
0,1,57,1,Business,337,3,5,3,3,5,4,5,3,3,4,3,4,3,4,24,21.0
1,1,55,0,Eco,2454,3,2,3,4,3,2,4,1,1,4,4,4,1,4,0,0.0
1,0,22,1,Eco,1121,2,2,2,3,2,5,1,1,4,2,4,1,4,1,14,46.0
1,1,59,1,Business,3051,0,4,0,3,4,4,5,4,4,3,3,4,4,3,7,0.0
1,1,60,1,Business,3753,3,3,3,3,5,5,5,4,4,4,4,4,4,5,5,2.0
