is_male,is_loyal_customer,age,is_business_travel,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,class = Business,class = Eco,class = Eco Plus
1,0,35,1,1472,2,2,2,4,5,2,5,5,5,5,2,2,1,5,0,0.0,0,1,0
0,1,42,1,1576,2,2,2,2,5,5,4,3,3,3,3,4,3,4,0,1.0,1,0,0
0,1,35,1,109,2,5,5,5,2,2,2,2,2,5,3,4,4,2,0,0.0,0,1,0
0,1,11,0,859,1,4,0,1,5,0,5,5,3,5,5,5,4,5,0,6.0,0,1,0
1,1,56,1,2422,4,4,4,4,4,4,4,5,4,4,5,4,5,4,0,3.0,1,0,0
0,1,44,1,1991,1,1,4,1,5,4,4,4,4,4,4,5,4,4,25,57.0,1,0,0
0,1,25,1,289,4,3,3,3,4,4,3,4,3,3,4,2,2,4,1,0.0,0,1,0
0,1,40,0,678,3,4,3,5,4,3,4,4,3,2,4,5,5,4,0,2.0,0,1,0
1,1,57,0,666,4,2,4,3,2,4,1,2,4,1,3,2,4,2,6,2.0,0,1,0
0,1,32,1,1684,2,2,2,2,4,4,4,4,5,5,4,4,5,4,0,0.0,1,0,0
0,1,69,1,408,3,4,4,4,3,4,3,3,3,3,3,2,3,4,0,8.0,1,0,0
1,0,37,1,1050,1,1,1,2,3,1,3,3,5,5,5,3,5,3,0,0.0,1,0,0
0,1,56,1,1733,4,2,4,4,5,4,5,5,5,5,5,5,5,3,3,0.0,1,0,0
1,1,27,1,2978,5,5,5,5,4,4,4,4,5,3,5,5,5,4,0,0.0,1,0,0
0,1,69,1,862,2,5,5,5,5,3,4,2,2,2,2,4,2,1,6,9.0,1,0,0
0,1,69,0,444,4,2,4,2,1,2,1,1,1,4,4,3,1,2,0,0.0,0,1,0
1,1,42,1,431,4,4,4,4,3,4,5,4,4,4,4,5,4,5,0,0.0,1,0,0
1,1,34,1,143,0,3,0,3,5,2,2,3,3,3,3,5,3,5,0,0.0,1,0,0
0,1,24,1,964,4,4,4,4,5,5,5,5,5,4,2,5,5,5,0,0.0,1,0,0
0,1,64,0,351,4,1,4,4,1,3,4,4,4,4,4,3,4,4,0,0.0,0,1,0
1,1,27,0,460,3,3,3,3,4,3,4,4,2,1,3,3,3,4,0,19.0,0,1,0
0,1,66,1,101,2,3,3,3,2,3,3,2,2,2,2,2,2,1,0,0.0,1,0,0
0,0,38,1,337,2,2,2,1,1,2,1,1,4,4,4,5,4,1,0,0.0,1,0,0
0,1,33,1,515,3,3,3,3,4,2,5,4,4,4,4,5,4,1,0,0.0,1,0,0
0,1,34,1,459,4,4,2,4,2,4,4,5,5,5,5,5,5,4,0,0.0,1,0,0
0,1,27,0,468,1,3,4,4,2,4,2,2,4,3,3,4,4,2,41,48.0,0,1,0
0,0,22,1,522,0,1,0,5,1,1,1,1,3,3,5,4,4,1,0,0.0,1,0,0
1,1,59,1,391,3,2,2,2,3,3,3,3,4,2,4,1,3,3,0,0.0,0,1,0
0,1,17,1,258,2,3,3,3,2,2,2,2,4,5,3,4,3,2,0,0.0,1,0,0
1,1,50,1,1587,3,3,3,3,2,5,4,4,4,4,4,4,4,4,0,0.0,1,0,0
0,1,36,1,3179,2,2,2,2,3,5,5,4,4,4,4,3,4,5,11,7.0,1,0,0
1,1,16,0,899,3,5,3,2,3,3,5,3,4,5,5,5,4,3,0,0.0,0,1,0
1,1,8,0,1010,4,4,4,1,4,4,4,4,5,2,1,5,5,4,0,0.0,0,1,0
1,1,18,0,606,3,4,3,1,4,3,4,4,5,3,4,5,4,4,15,5.0,1,0,0
1,1,52,1,2861,3,3,3,3,3,5,4,5,5,5,5,3,5,4,28,50.0,1,0,0
1,1,49,0,1390,4,4,4,4,5,4,2,5,5,3,5,4,4,5,0,0.0,0,1,0
1,1,16,1,1532,3,3,3,3,5,5,5,5,5,4,5,4,5,5,0,0.0,1,0,0
0,1,43,1,1587,4,4,4,4,2,4,4,5,5,5,5,4,5,4,0,0.0,1,0,0
0,0,26,1,1721,3,2,3,3,5,3,5,5,2,2,3,2,3,5,13,9.0,0,0,1
1,0,25,1,644,2,5,3,2,3,3,3,3,3,5,5,4,4,3,0,0.0,1,0,0
0,1,37,1,306,4,1,1,1,3,3,3,4,4,4,4,2,4,2,0,0.0,1,0,0
1,1,24,0,1345,4,4,4,3,5,4,2,5,5,1,5,5,4,5,26,33.0,0,1,0
0,1,69,0,337,2,5,2,3,2,5,5,2,2,2,2,5,2,5,0,17.0,1,0,0
0,1,31,1,1547,2,4,4,4,2,2,2,2,3,5,3,4,4,2,0,6.0,1,0,0
0,1,30,1,2402,4,4,4,4,5,5,5,5,2,4,5,2,2,5,8,0.0,1,0,0
1,1,18,1,3581,2,2,2,2,5,5,5,5,1,5,2,3,4,5,0,2.0,1,0,0
0,1,50,1,1769,1,1,1,1,2,5,4,4,4,4,5,3,4,4,0,4.0,1,0,0
0,1,59,1,2218,4,4,4,4,3,5,5,5,5,5,5,5,5,4,0,0.0,1,0,0
0,1,34,1,1849,4,5,5,5,2,4,4,4,4,4,4,2,4,2,0,8.0,1,0,0
0,1,45,1,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0,1,0,0
1,1,60,1,236,0,1,1,4,3,4,4,4,4,4,4,5,4,3,13,3.0,1,0,0
1,1,79,1,408,2,2,2,2,5,3,3,2,2,2,2,4,2,1,0,8.0,1,0,0
1,1,51,1,2519,0,1,1,1,3,5,4,3,3,3,3,3,3,3,0,0.0,1,0,0
0,1,11,0,1670,2,0,2,3,1,2,1,1,3,1,4,4,2,1,0,0.0,0,1,0
1,1,59,0,594,3,5,3,3,5,3,5,5,4,4,5,3,5,5,0,0.0,0,1,0
0,1,47,1,3939,2,2,2,2,3,1,1,2,2,3,2,3,2,2,35,34.0,1,0,0
1,1,57,1,1595,3,3,3,3,3,5,5,5,5,5,5,4,5,5,63,73.0,1,0,0
1,0,25,1,1121,2,3,3,3,4,3,4,4,3,2,4,5,4,4,0,0.0,0,1,0
1,1,25,1,1005,3,2,2,2,3,3,3,3,3,4,3,4,4,3,0,0.0,1,0,0
0,1,18,0,1721,3,3,3,3,2,3,2,2,2,4,3,4,3,2,0,0.0,0,0,1
1,1,31,0,853,2,4,2,4,2,2,2,2,5,5,4,3,4,2,0,0.0,0,1,0
1,0,38,1,361,2,2,2,4,3,2,3,3,3,3,4,4,4,3,0,0.0,1,0,0
0,1,49,1,2952,3,3,3,3,3,4,5,2,2,2,2,4,2,1,0,1.0,1,0,0
0,1,68,0,523,3,5,3,2,2,3,5,2,2,3,3,5,2,5,10,0.0,0,1,0
1,1,43,1,2863,4,4,2,4,4,5,3,5,5,5,5,3,5,3,0,0.0,1,0,0
0,1,21,1,2454,5,3,3,3,5,5,5,5,1,4,5,1,4,5,0,0.0,0,0,1
1,1,40,1,1576,3,3,3,3,3,5,5,5,5,5,5,3,5,4,0,0.0,1,0,0
0,1,53,1,1855,2,2,2,2,4,5,4,3,3,4,3,3,3,4,3,5.0,1,0,0
0,0,22,1,1171,4,0,4,3,2,4,2,2,4,4,5,5,5,2,0,0.0,1,0,0
1,1,12,0,201,2,2,2,4,2,2,2,2,3,4,4,3,3,2,0,0.0,0,1,0
0,1,43,0,516,1,4,1,1,2,2,1,4,4,1,4,1,4,3,5,0.0,0,1,0
1,1,9,0,190,2,4,2,1,3,2,4,3,3,2,4,5,5,3,0,0.0,0,1,0
1,1,9,0,937,3,3,3,4,1,3,1,1,1,1,4,2,3,1,0,1.0,0,1,0
0,1,60,1,3866,4,4,4,4,4,4,4,5,5,5,5,4,5,3,0,0.0,1,0,0
0,1,43,1,503,2,2,2,2,1,3,3,2,2,2,2,2,2,2,21,23.0,0,1,0
1,1,28,0,575,1,4,1,4,4,1,1,4,5,3,5,5,5,4,0,0.0,0,1,0
1,1,27,0,983,3,4,3,1,1,3,2,1,5,2,5,4,5,1,0,0.0,0,1,0
1,1,43,1,562,3,2,2,2,4,3,4,4,3,3,4,3,4,4,0,0.0,0,0,1
0,0,18,1,1076,2,2,2,1,5,2,5,5,2,5,1,4,3,5,0,0.0,0,1,0
0,1,40,1,2283,4,1,2,1,2,4,3,4,4,4,4,1,4,1,1,0.0,1,0,0
1,1,41,1,2299,2,2,2,2,5,4,5,4,4,4,4,4,4,5,0,4.0,1,0,0
0,0,28,1,950,3,3,3,3,5,3,5,5,5,1,2,5,5,5,0,0.0,0,1,0
0,1,32,1,315,1,1,1,1,5,5,5,5,2,4,4,5,4,5,5,0.0,1,0,0
0,1,49,0,689,3,3,2,3,1,3,2,4,4,2,4,4,4,1,0,0.0,0,1,0
0,1,47,0,2496,2,2,2,4,2,3,3,2,2,3,3,3,1,3,0,0.0,0,1,0
1,1,25,0,200,3,1,0,2,2,0,2,2,4,4,3,2,3,2,0,4.0,0,1,0
1,1,45,1,1174,4,4,4,4,4,5,4,4,4,4,4,4,4,3,12,3.0,1,0,0
1,1,50,1,160,2,2,2,2,2,5,5,5,5,5,5,4,5,4,65,67.0,1,0,0
1,1,57,1,971,4,4,4,4,4,4,5,3,3,4,3,4,3,3,8,0.0,1,0,0
1,1,60,1,2889,5,5,5,5,5,4,4,5,5,5,5,4,5,4,0,0.0,1,0,0
0,1,47,1,1389,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0.0,1,0,0
0,1,52,1,1197,2,4,4,4,1,4,3,2,2,2,2,1,2,2,21,24.0,0,1,0
1,1,33,1,214,0,0,0,4,2,0,2,2,1,1,3,2,4,2,0,0.0,0,0,1
1,1,51,1,1337,1,1,1,1,4,5,4,5,5,5,5,5,5,4,0,0.0,1,0,0
1,1,48,1,1881,4,4,4,4,2,5,5,4,4,4,4,5,4,4,0,0.0,1,0,0
1,1,53,0,991,1,5,1,3,2,1,2,2,4,5,5,4,4,2,60,60.0,0,1,0
0,1,37,0,862,2,4,2,4,1,2,1,1,5,5,4,3,5,1,4,0.0,0,1,0
0,1,56,0,500,3,4,3,3,3,5,4,3,3,3,3,5,3,4,0,0.0,0,0,1
0,0,42,1,370,3,3,3,2,2,3,2,2,2,3,3,3,3,2,17,13.0,0,1,0
1,1,24,1,3516,1,1,1,1,2,2,2,2,5,5,4,4,5,2,0,6.0,1,0,0
1,1,65,0,448,2,1,2,3,5,2,5,5,2,4,3,3,3,5,11,28.0,0,1,0
0,1,38,1,2475,3,2,2,2,3,5,3,3,2,4,3,4,3,3,0,0.0,0,1,0
0,1,69,1,3662,3,5,5,5,1,3,4,3,3,3,3,1,3,3,0,0.0,1,0,0
1,1,54,0,735,2,4,2,4,5,2,5,5,3,5,4,3,5,5,0,0.0,0,1,0
0,1,68,1,391,4,4,4,4,2,5,4,4,4,4,4,3,4,4,12,11.0,1,0,0
1,1,31,0,921,3,4,2,2,4,2,4,4,3,3,4,5,4,4,0,0.0,0,1,0
1,1,60,1,764,4,4,4,4,2,5,4,4,4,4,4,4,4,5,0,0.0,1,0,0
0,1,35,1,1500,3,1,5,1,3,3,3,3,4,5,3,1,3,3,0,0.0,0,1,0
0,0,39,1,102,2,0,2,3,5,2,5,5,2,5,2,3,2,5,0,0.0,0,1,0
0,1,42,1,2419,3,3,3,3,2,4,5,5,5,5,5,3,5,4,0,0.0,1,0,0
0,1,34,1,1074,3,3,3,3,2,5,1,3,3,4,3,1,3,5,34,1.0,1,0,0
1,1,49,1,1121,3,3,3,3,3,5,4,4,4,4,4,4,4,4,0,0.0,1,0,0
0,1,61,0,106,3,4,3,4,2,1,1,5,5,3,5,1,5,1,50,51.0,0,1,0
0,1,69,1,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,0,1,0
1,0,29,1,2342,2,2,2,1,4,2,4,4,3,5,3,3,4,4,0,0.0,1,0,0
0,0,37,1,594,5,4,4,2,3,4,5,3,4,5,4,5,4,3,124,109.0,1,0,0
0,0,35,1,789,2,2,2,3,1,2,1,1,2,4,4,4,4,1,31,22.0,0,1,0
1,1,26,1,872,1,1,1,1,4,4,4,4,2,1,5,5,5,4,101,110.0,1,0,0
0,1,43,1,197,0,5,1,4,2,4,5,2,2,2,2,3,2,3,1,0.0,1,0,0
1,1,25,1,2822,2,1,4,1,2,2,2,2,3,1,4,3,4,2,0,0.0,1,0,0
1,0,35,1,1117,2,2,2,1,2,2,5,2,2,2,3,2,2,2,0,0.0,1,0,0
1,0,35,1,954,3,3,3,4,4,3,4,4,2,3,4,2,5,4,0,7.0,0,1,0
1,1,37,1,101,4,4,4,4,2,4,4,5,5,5,3,3,5,5,0,0.0,1,0,0
1,1,49,0,422,3,4,3,3,3,3,3,3,5,1,3,5,4,3,0,0.0,0,1,0
0,1,18,0,134,2,4,2,4,5,2,5,5,2,4,3,3,4,5,0,0.0,0,1,0
1,1,51,1,550,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0,1,0,0
0,1,51,0,270,3,3,3,5,1,2,2,1,1,3,1,4,1,5,0,0.0,0,1,0
0,1,35,1,587,4,4,4,4,4,4,4,4,3,4,4,3,1,4,7,0.0,0,1,0
0,1,12,0,925,2,2,2,4,3,2,3,3,3,5,3,1,4,3,0,0.0,1,0,0
1,0,20,1,224,5,3,5,2,4,5,3,4,3,5,5,3,4,4,0,0.0,1,0,0
0,1,58,1,3068,1,1,1,1,2,5,5,4,4,5,4,4,4,5,2,1.0,1,0,0
0,1,29,0,479,4,2,4,3,5,4,5,5,3,1,3,3,4,5,0,0.0,0,1,0
1,1,42,1,86,2,4,4,4,3,2,3,3,3,3,2,2,3,4,34,63.0,1,0,0
1,1,49,1,187,1,1,1,1,3,1,5,5,5,5,3,5,5,4,11,0.0,1,0,0
1,0,62,1,813,2,2,2,3,5,2,5,5,3,1,3,4,2,5,0,0.0,0,1,0
1,0,28,1,666,4,2,4,2,3,4,3,3,3,5,3,2,3,3,0,45.0,0,1,0
1,1,49,1,1807,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0.0,1,0,0
1,1,23,0,680,1,5,0,3,3,0,3,3,4,4,4,5,5,3,0,0.0,0,1,0
1,1,32,0,496,4,4,5,5,3,5,5,3,3,3,4,5,4,3,0,0.0,1,0,0
0,1,35,1,3983,3,3,3,3,2,4,5,4,4,4,4,3,4,5,0,0.0,1,0,0
0,1,54,1,936,3,3,2,3,2,5,4,5,5,5,5,5,5,4,2,0.0,1,0,0
0,1,33,0,409,1,5,1,5,4,1,4,4,4,1,5,2,4,4,0,0.0,0,1,0
0,1,39,1,3537,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0.0,1,0,0
0,1,58,1,1829,3,3,3,3,5,3,4,5,5,5,5,3,5,3,0,0.0,1,0,0
1,1,56,1,1488,4,4,4,4,2,4,4,4,4,4,4,4,4,3,73,91.0,1,0,0
1,1,19,0,546,1,5,3,4,5,3,5,5,4,3,1,4,4,5,13,0.0,0,1,0
0,1,39,1,2753,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,0.0,1,0,0
1,1,55,1,2934,4,4,4,4,5,4,5,4,4,4,4,3,4,3,0,0.0,1,0,0
1,0,30,1,1995,1,1,1,3,4,1,5,4,3,2,4,5,5,4,7,14.0,1,0,0
0,1,29,1,1949,3,1,1,1,3,3,3,3,2,5,4,2,3,3,0,0.0,1,0,0
1,1,33,1,1107,3,5,5,5,3,3,3,3,2,1,3,1,4,3,3,0.0,0,0,1
0,1,36,0,83,4,4,4,3,5,4,1,5,4,3,3,3,4,5,0,0.0,0,1,0
1,1,15,1,1188,3,3,3,3,3,3,2,3,1,4,3,4,4,3,50,40.0,0,0,1
0,1,40,1,534,4,4,3,4,3,3,2,4,4,4,4,1,4,1,0,0.0,1,0,0
1,1,50,1,3114,4,4,4,4,5,5,4,5,5,5,4,3,5,3,0,6.0,1,0,0
1,1,15,1,3300,5,1,5,5,4,4,4,4,3,3,5,5,4,4,0,0.0,1,0,0
1,1,39,1,2227,1,1,2,1,5,4,5,5,5,5,5,3,5,4,11,0.0,1,0,0
1,0,24,1,496,4,3,4,1,2,4,2,2,5,3,5,4,2,2,0,0.0,0,1,0
0,1,59,1,423,2,4,4,4,4,3,4,2,2,2,2,4,2,3,23,12.0,0,1,0
1,1,46,1,2388,1,1,1,1,4,5,5,2,2,2,2,3,2,3,0,0.0,1,0,0
1,1,56,0,968,3,4,3,1,5,3,5,5,3,2,4,4,4,5,0,0.0,0,1,0
0,1,45,1,1773,2,2,2,2,4,3,4,3,3,3,3,4,3,4,1,0.0,1,0,0
0,1,53,1,1703,3,3,3,3,5,5,4,5,5,5,5,4,5,4,0,0.0,1,0,0
0,1,41,1,3170,2,2,2,2,2,4,4,5,5,5,5,4,5,5,0,0.0,1,0,0
0,1,40,1,2291,1,1,1,1,5,4,5,5,5,5,5,5,5,3,0,0.0,1,0,0
1,1,31,1,500,3,3,3,3,3,3,3,3,1,5,4,2,4,3,0,0.0,1,0,0
1,1,40,0,370,3,2,3,1,4,3,4,4,4,1,1,1,2,4,0,0.0,0,1,0
0,1,34,1,3362,1,1,1,1,3,3,5,5,5,5,5,1,5,2,0,17.0,1,0,0
1,1,70,0,2075,3,4,3,4,4,3,2,4,3,2,4,5,4,4,0,0.0,0,1,0
1,1,48,0,266,2,0,2,4,2,2,1,2,1,2,3,4,3,2,0,0.0,0,0,1
0,1,37,1,787,1,1,1,1,4,5,5,4,4,4,4,5,4,5,0,0.0,1,0,0
1,1,40,1,228,4,3,5,3,4,4,4,4,3,4,3,3,4,4,0,0.0,0,1,0
1,1,55,0,325,3,4,3,3,4,3,4,4,4,4,4,4,3,4,0,0.0,0,0,1
0,1,40,1,844,5,5,5,5,4,5,3,3,3,4,3,1,3,3,4,0.0,1,0,0
0,1,27,0,1979,3,3,3,3,3,3,3,3,5,2,1,1,4,3,0,0.0,0,1,0
0,0,22,1,1214,3,3,3,4,4,3,2,4,1,5,3,4,4,4,14,2.0,0,1,0
1,0,36,1,255,2,1,3,4,4,3,4,4,4,4,3,1,3,4,0,0.0,0,1,0
0,0,26,1,416,1,0,1,2,2,1,4,2,2,3,2,4,4,2,97,102.0,0,0,1
0,1,27,1,622,2,2,2,2,2,2,2,2,1,3,3,3,4,2,11,2.0,0,0,1
1,1,46,1,2805,2,1,1,1,5,4,4,2,2,2,2,4,2,3,96,111.0,1,0,0
0,1,59,0,605,2,3,2,1,5,3,4,2,2,2,2,2,2,5,0,0.0,0,0,1
1,0,22,1,227,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0.0,0,1,0
1,1,45,1,1546,1,1,1,1,4,4,5,4,4,4,4,5,4,4,17,15.0,1,0,0
0,1,28,1,237,5,5,5,5,4,4,4,4,4,4,4,3,5,4,0,0.0,1,0,0
1,1,39,0,992,4,4,4,4,2,4,2,2,4,4,4,3,3,2,0,3.0,0,0,1
1,1,36,1,201,4,5,5,5,4,4,4,4,2,5,1,1,4,4,0,0.0,0,1,0
0,0,48,1,708,2,2,2,5,2,2,2,2,2,3,4,2,5,2,31,20.0,0,1,0
0,1,51,0,761,2,4,2,2,4,4,5,3,3,2,3,4,3,5,1,0.0,0,1,0
0,1,41,1,1674,5,5,3,5,5,5,1,5,5,5,5,4,5,4,0,0.0,0,0,1
1,1,45,0,86,2,5,2,4,3,2,3,3,3,2,4,4,3,3,0,0.0,0,0,1
1,0,21,1,425,2,5,2,3,5,2,5,5,5,4,5,5,4,5,0,2.0,0,1,0
0,1,50,1,1609,2,3,3,3,3,2,3,2,2,2,2,1,2,4,0,0.0,1,0,0
1,1,48,1,1028,5,5,5,5,3,4,4,5,5,5,5,2,5,4,0,0.0,1,0,0
1,1,39,1,3692,1,1,1,1,2,5,4,2,2,2,2,5,2,4,0,0.0,1,0,0
0,1,25,1,2680,3,3,3,3,4,4,4,4,3,4,4,3,4,4,0,0.0,1,0,0
1,0,25,1,438,4,0,4,3,2,4,2,2,4,3,4,3,5,2,8,1.0,1,0,0
0,1,45,1,182,4,5,5,5,5,1,5,4,4,4,4,2,4,3,0,0.0,0,1,0
0,1,42,1,1979,3,5,5,5,3,3,2,3,3,3,3,1,3,3,9,13.0,1,0,0
0,1,63,0,216,3,1,3,4,2,3,4,3,3,3,3,3,3,1,0,0.0,1,0,0
1,1,13,0,163,3,5,3,1,4,3,4,4,4,2,3,4,1,4,0,0.0,0,1,0
1,1,39,1,299,3,3,3,3,2,5,5,5,5,5,5,4,5,5,15,7.0,1,0,0
1,1,46,1,620,5,5,5,5,1,4,1,4,4,4,4,2,4,4,30,39.0,1,0,0
0,1,49,0,236,2,5,2,4,3,4,4,2,2,2,2,4,2,5,9,1.0,0,1,0
0,0,25,1,821,3,3,3,2,2,3,2,2,2,5,3,4,3,2,0,5.0,0,1,0
1,1,18,0,749,3,2,3,3,2,3,2,2,4,2,3,1,4,2,16,9.0,1,0,0
1,1,41,1,1582,1,1,1,1,5,4,4,5,5,5,5,5,5,4,0,0.0,1,0,0
0,1,38,1,3543,4,4,4,4,2,5,5,5,5,5,5,4,5,3,3,1.0,1,0,0
1,1,34,1,1618,4,4,4,4,5,3,5,5,5,5,5,4,5,4,37,11.0,1,0,0
0,1,39,1,391,4,5,5,5,4,4,4,4,5,1,2,4,4,4,0,0.0,0,1,0
1,1,46,0,913,3,4,3,2,5,3,5,5,3,2,1,2,4,5,0,0.0,0,1,0
0,1,23,1,1747,1,0,0,3,2,0,3,2,2,2,2,2,3,2,59,26.0,1,0,0
1,1,70,1,1582,3,4,4,4,4,3,3,3,3,3,3,4,3,2,0,0.0,1,0,0
1,0,37,1,89,2,0,2,1,3,2,1,3,5,1,4,2,2,3,0,0.0,0,1,0
0,0,21,1,689,3,3,3,3,5,3,5,5,3,1,3,4,4,5,0,0.0,0,1,0
1,1,24,0,500,4,3,4,3,1,4,1,1,2,1,4,2,3,1,0,0.0,0,1,0
0,1,49,1,205,1,5,5,5,4,1,1,1,1,1,1,4,1,2,21,7.0,0,1,0
1,0,20,1,214,2,1,2,2,4,2,3,4,4,1,2,4,3,4,0,0.0,1,0,0
0,1,49,1,1014,4,1,1,1,4,4,4,2,4,1,2,4,1,4,180,206.0,0,0,1
0,1,43,1,221,1,5,5,5,4,4,4,2,2,2,1,4,2,3,0,0.0,1,0,0
1,1,36,1,2054,2,5,4,5,1,3,3,1,1,1,2,2,1,4,0,0.0,1,0,0
0,1,47,1,409,3,3,3,3,3,4,5,4,4,4,4,4,4,5,0,0.0,1,0,0
1,1,53,1,321,3,5,5,5,3,3,3,3,4,5,4,1,3,3,17,3.0,0,1,0
0,0,43,1,577,2,2,2,5,3,2,3,3,4,4,4,3,4,3,0,0.0,1,0,0
1,1,46,1,451,3,5,5,5,3,3,3,3,1,3,1,4,1,3,10,21.0,0,1,0
1,1,61,0,731,1,2,1,3,5,1,5,5,1,1,2,2,3,5,45,29.0,0,1,0
0,0,37,1,887,2,2,2,4,5,2,5,5,3,3,4,2,3,5,9,0.0,0,1,0
0,1,45,1,1685,4,4,4,4,4,4,4,3,3,3,3,3,3,4,12,0.0,1,0,0
0,1,61,0,677,2,4,2,4,4,3,4,5,5,2,5,4,5,2,28,23.0,0,1,0
1,1,36,1,2556,3,3,3,3,4,4,4,4,2,4,5,4,4,4,6,9.0,1,0,0
1,1,62,0,247,2,4,2,3,5,2,5,5,3,2,5,5,5,5,9,10.0,0,0,1
1,1,50,1,2176,1,1,1,1,2,4,5,5,5,5,5,5,5,3,84,101.0,1,0,0
1,1,17,0,368,1,4,2,4,4,2,4,4,1,3,3,2,4,4,0,0.0,0,1,0
0,1,62,0,341,2,5,2,3,3,5,5,4,4,2,4,4,4,4,0,0.0,1,0,0
1,0,23,1,771,1,1,1,1,4,1,1,4,3,5,2,4,4,4,7,21.0,0,1,0
1,1,43,1,1020,3,1,1,1,2,3,3,3,3,3,3,1,3,3,24,5.0,1,0,0
1,1,49,0,1069,4,5,4,1,5,4,5,5,5,4,4,4,5,5,4,0.0,0,1,0
1,1,28,0,507,4,1,4,2,3,4,3,3,2,3,3,1,3,3,6,4.0,0,1,0
0,1,40,0,109,3,4,3,3,1,4,3,4,4,3,5,2,4,4,0,0.0,1,0,0
