carat,depth,table,cut = Fair,cut = Good,cut = Ideal,cut = Premium,cut = Very Good,color = D,color = E,color = F,color = G,color = H,color = I,color = J,clarity = I1,clarity = IF,clarity = SI1,clarity = SI2,clarity = VS1,clarity = VS2,clarity = VVS1,clarity = VVS2
0.8,63.9,57.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.91,62.4,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,62.3,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,61.6,58.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,61.5,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.5,59.1,59.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.27,61.6,54.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4,62.0,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.22,61.7,56.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.74,62.5,56.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.13,59.4,58.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.36,61.4,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.04,58.8,60.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.08,62.1,59.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.76,61.7,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.58,59.7,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.02,63.5,56.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.34,61.6,58.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.61,62.0,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.57,61.8,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.32,60.0,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.07,62.9,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,59.7,60.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.51,62.9,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.63,63.3,59.2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,62.9,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.23,62.4,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36,61.9,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.22,61.7,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.24,61.6,60.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.31,63.7,55.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.51,62.8,59.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.72,61.7,58.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,61.1,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.41,63.8,56.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.7,56.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.53,62.4,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.85,66.9,54.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.85,60.0,57.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.41,61.6,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.76,60.9,55.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.32,62.5,55.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.52,62.1,58.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.52,62.9,53.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.76,59.3,63.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3,63.4,56.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.9,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.1,61.3,56.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.16,61.4,59.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.0,62.1,64.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.7,58.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.5,62.1,58.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.55,61.7,55.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.75,62.4,57.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.26,61.1,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.43,61.3,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.9,59.0,62.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.55,61.6,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.05,62.3,57.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.04,61.9,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.76,61.7,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.1,61.5,60.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.5,62.4,61.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.82,59.9,57.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.59,60.7,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.07,61.8,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,62.7,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.39,60.5,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.53,61.6,55.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.71,60.6,58.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.53,61.1,57.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.01,59.7,61.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.16,62.1,54.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9,62.3,58.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,63.6,57.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.23,59.9,55.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.28,62.6,55.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.71,61.7,56.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.57,63.1,54.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.0,60.7,60.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4,61.8,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.7,62.0,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.72,62.7,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.09,61.6,57.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.72,61.2,57.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,61.7,54.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.53,59.9,58.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.9,62.1,57.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.56,60.4,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.51,63.3,59.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,62.4,58.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,61.4,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.72,62.8,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.31,63.1,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,62.9,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.01,62.9,62.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.77,64.2,52.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,59.6,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.03,60.1,60.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.51,62.9,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,59.5,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.25,60.9,59.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.25,63.3,60.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,61.5,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.05,62.4,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,63.2,60.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.53,61.9,55.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,61.7,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.51,62.4,58.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.16,63.0,57.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,61.5,58.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.57,62.6,58.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.55,61.9,56.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.21,59.4,60.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,62.0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.76,62.8,60.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.3,61.8,55.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.5,63.5,58.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.67,59.4,61.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,61.4,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.09,62.1,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.41,62.6,57.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,61.7,57.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.66,59.6,60.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.09,61.3,58.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,62.1,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.75,60.4,56.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,61.0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.02,61.0,56.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.39,63.3,55.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.4,60.8,62.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4,62.1,53.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,61.4,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,60.9,58.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.44,62.8,60.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.02,62.3,56.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,62.4,62.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.38,62.0,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41,62.5,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.12,61.7,56.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.3,62.5,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,62.2,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,62.3,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.21,61.6,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.54,63.2,58.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.57,59.8,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.26,61.6,56.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.72,60.6,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.11,62.4,58.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.01,60.7,58.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.08,61.9,54.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.53,62.3,55.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,61.9,61.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,62.3,59.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.53,61.6,56.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.38,63.4,55.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,62.1,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.27,62.3,53.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,60.5,56.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.74,62.8,54.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.31,58.8,59.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.24,58.8,58.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.57,62.1,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.02,61.5,61.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,61.5,58.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.54,60.7,56.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.18,59.1,60.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,62.4,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,63.1,56.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.81,62.9,59.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.24,61.8,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.06,61.2,57.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.51,61.6,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.5,58.1,61.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.6,60.8,58.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,61.8,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.28,62.0,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.94,62.6,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.37,60.1,59.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,62.4,56.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.51,60.9,61.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.01,60.5,60.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,61.7,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,63.1,59.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.5,62.8,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.58,58.6,62.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.6,61.5,56.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.2,61.4,56.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.37,59.9,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.0,56.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.56,63.3,58.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9,62.1,58.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.52,63.0,60.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.31,61.8,60.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.19,63.7,56.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.34,59.1,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.36,61.7,55.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.4,60.8,62.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,62.3,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.21,62.2,56.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.8,61.0,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,62.4,58.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.1,61.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.33,60.8,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.24,62.2,55.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.71,62.9,58.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.25,63.2,60.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,63.5,55.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.22,61.2,60.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,58.3,59.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.82,62.5,56.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,60.9,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.52,57.3,58.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9,61.9,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.71,66.1,58.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.31,62.0,60.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.38,61.9,53.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,60.7,60.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.51,61.3,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.92,62.1,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.36,62.8,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.51,62.7,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.2,62.2,59.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.52,59.5,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.51,62.5,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.01,64.6,56.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.34,61.4,55.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,62.6,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.9,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9,61.2,60.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,61.1,61.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
