carat,cut,color,clarity,depth,table
0.58,Premium,G,VVS2,59.7,59.0
1.02,Very Good,G,VS2,63.5,56.0
0.34,Very Good,E,VVS2,61.6,58.0
0.61,Very Good,G,VS2,62.0,57.0
0.57,Ideal,G,VS2,61.8,56.0
0.32,Premium,F,SI1,60.0,59.0
1.07,Premium,E,SI2,62.9,59.0
1.0,Premium,D,VS1,59.7,60.0
0.51,Very Good,G,VVS1,62.9,57.0
0.63,Very Good,G,VVS2,63.3,59.2
0.3,Ideal,F,VS2,62.9,57.0
1.23,Ideal,G,VVS2,62.4,55.0
0.36,Ideal,E,VS2,61.9,56.0
1.22,Ideal,E,SI1,61.7,56.0
1.24,Very Good,J,SI1,61.6,60.0
0.31,Good,D,SI2,63.7,55.0
1.51,Very Good,E,SI2,62.8,59.0
0.72,Premium,J,VS2,61.7,58.0
0.91,Premium,E,SI2,61.1,59.0
0.41,Very Good,D,VS2,63.8,56.0
0.9,Very Good,H,VS1,62.7,56.0
0.53,Ideal,F,VS1,62.4,57.0
0.85,Fair,H,I1,66.9,54.0
0.85,Very Good,I,VS2,60.0,57.0
0.41,Ideal,G,SI1,61.6,57.0
0.76,Very Good,H,SI1,60.9,55.0
0.32,Ideal,I,VS2,62.5,55.0
1.52,Very Good,G,VS2,62.1,58.0
1.52,Very Good,F,VS2,62.9,53.3
0.76,Very Good,J,VS1,59.3,63.0
0.3,Good,D,SI2,63.4,56.0
0.33,Ideal,G,VVS2,61.9,55.0
1.1,Ideal,H,VS2,61.3,56.0
2.16,Ideal,J,VS1,61.4,59.0
1.0,Good,D,VS2,62.1,64.0
0.9,Premium,G,VS1,62.7,58.0
1.5,Premium,H,SI2,62.1,58.0
0.55,Ideal,D,VS1,61.7,55.0
0.75,Very Good,E,SI1,62.4,57.0
2.26,Ideal,J,VS2,61.1,57.0
0.43,Ideal,G,IF,61.3,56.0
0.9,Good,H,SI1,59.0,62.0
0.55,Ideal,G,VS1,61.6,55.0
1.05,Premium,H,VS2,62.3,57.0
1.04,Ideal,G,VS2,61.9,57.0
0.76,Ideal,D,VS1,61.7,56.0
2.1,Very Good,J,VS2,61.5,60.7
1.5,Good,D,SI2,62.4,61.0
0.82,Premium,H,SI1,59.9,57.0
0.59,Ideal,E,VVS1,60.7,57.0
1.07,Ideal,G,VS1,61.8,57.0
0.7,Premium,E,SI1,62.7,59.0
0.39,Ideal,G,SI1,60.5,56.0
0.53,Ideal,E,VS1,61.6,55.6
1.71,Premium,G,SI1,60.6,58.0
0.53,Ideal,H,VVS1,61.1,57.0
1.01,Very Good,F,SI1,59.7,61.0
1.16,Ideal,D,SI2,62.1,54.0
0.9,Very Good,F,VS2,62.3,58.0
0.3,Good,G,VS1,63.6,57.0
0.23,Very Good,E,VVS1,59.9,55.0
0.28,Very Good,F,VVS2,62.6,55.0
0.71,Premium,D,SI1,61.7,56.0
0.57,Very Good,H,SI1,63.1,54.0
2.0,Premium,I,VS2,60.7,60.0
0.4,Ideal,I,VS2,61.8,56.0
0.7,Very Good,F,VS1,62.0,57.0
0.72,Ideal,E,SI2,62.7,57.0
1.09,Premium,H,SI1,61.6,57.0
0.72,Ideal,D,SI2,61.2,57.0
0.56,Ideal,H,VS2,61.7,54.0
0.53,Very Good,I,VS1,59.9,58.0
0.9,Very Good,H,VS2,62.1,57.0
0.56,Ideal,D,VS1,60.4,56.0
0.51,Good,E,SI1,63.3,59.0
0.9,Very Good,I,VS2,62.4,58.0
0.71,Ideal,I,SI1,61.4,56.0
1.72,Ideal,I,VS2,62.8,57.0
0.31,Very Good,G,VVS2,63.1,57.0
1.01,Premium,F,SI2,62.9,59.0
2.01,Very Good,I,VS1,62.9,62.0
0.77,Good,F,SI1,64.2,52.0
0.42,Premium,F,VVS2,59.6,59.0
2.03,Very Good,G,SI1,60.1,60.0
0.51,Ideal,D,VS2,62.9,56.0
0.3,Ideal,D,VVS2,59.5,56.0
1.25,Premium,J,VS1,60.9,59.0
0.25,Good,E,VS1,63.3,60.0
1.22,Ideal,F,VS2,61.5,57.0
1.05,Ideal,E,VVS2,62.4,56.0
0.7,Good,D,VS2,63.2,60.0
0.53,Ideal,E,VS2,61.9,55.0
2.0,Ideal,I,SI2,61.7,56.0
0.51,Premium,G,VVS1,62.4,58.0
1.16,Very Good,H,VS2,63.0,57.0
1.0,Premium,H,SI1,61.5,58.0
1.57,Ideal,I,SI2,62.6,58.0
0.55,Ideal,F,VS1,61.9,56.0
1.21,Very Good,I,VS1,59.4,60.0
1.0,Ideal,G,SI1,62.0,57.0
0.76,Premium,G,SI2,62.8,60.0
0.3,Ideal,D,VS2,61.8,55.0
0.5,Good,F,SI2,63.5,58.0
1.67,Premium,H,SI1,59.4,61.0
0.43,Ideal,G,VVS1,61.4,55.0
1.09,Ideal,D,SI2,62.1,56.0
0.41,Ideal,D,SI2,62.6,57.0
0.7,Ideal,H,VS1,61.7,57.0
0.66,Good,G,VS1,59.6,60.2
1.09,Premium,D,SI2,61.3,58.0
1.5,Very Good,G,VS2,62.1,57.0
0.75,Very Good,E,VS2,60.4,56.0
0.71,Ideal,G,VS1,61.0,57.0
1.02,Ideal,F,VS2,61.0,56.0
0.39,Very Good,F,VS2,63.3,55.0
0.4,Premium,E,SI1,60.8,62.0
0.4,Ideal,E,SI2,62.1,53.0
0.3,Ideal,E,VVS2,61.4,56.0
0.3,Premium,D,SI2,60.9,58.0
0.44,Very Good,F,SI2,62.8,60.0
1.02,Ideal,F,SI1,62.3,56.0
0.71,Premium,H,SI1,62.4,62.0
0.38,Ideal,E,VVS2,62.0,57.0
0.41,Premium,G,VS1,62.5,59.0
1.12,Premium,G,VS2,61.7,56.0
0.3,Premium,E,SI1,62.5,60.0
0.71,Ideal,E,VS2,62.2,56.0
0.31,Premium,F,VS2,62.3,59.0
1.21,Premium,F,SI1,61.6,59.0
0.54,Very Good,G,SI1,63.2,58.0
0.57,Premium,E,IF,59.8,60.0
0.26,Very Good,G,VVS1,61.6,56.0
0.72,Premium,G,SI1,60.6,59.0
2.11,Premium,J,SI1,62.4,58.0
1.01,Very Good,H,VS2,60.7,58.0
1.08,Ideal,H,VS2,61.9,54.0
0.53,Ideal,F,VS2,62.3,55.0
1.0,Good,G,SI1,61.9,61.0
1.01,Very Good,F,VS2,62.3,59.0
0.53,Ideal,I,SI1,61.6,56.6
0.38,Very Good,D,VS2,63.4,55.0
0.32,Ideal,I,VS1,62.1,57.0
0.27,Ideal,G,VS1,62.3,53.0
1.0,Premium,F,SI1,60.5,56.0
0.74,Premium,G,SI2,62.8,54.0
0.31,Very Good,G,VVS1,58.8,59.0
0.24,Premium,D,VVS2,58.8,58.0
0.57,Ideal,E,SI1,62.1,56.0
1.02,Good,D,SI2,61.5,61.0
0.3,Ideal,E,VVS1,61.5,58.0
0.54,Premium,E,VS2,60.7,56.0
2.18,Premium,H,SI2,59.1,60.0
1.01,Premium,E,SI1,62.4,59.0
0.33,Very Good,E,SI1,63.1,56.0
0.81,Premium,I,VVS2,62.9,59.0
1.24,Ideal,J,SI1,61.8,57.0
1.06,Ideal,D,SI2,61.2,57.0
0.51,Ideal,G,VVS1,61.6,56.0
0.5,Premium,E,VS2,58.1,61.0
0.6,Premium,E,SI1,60.8,58.0
1.01,Premium,E,SI1,61.8,60.0
0.28,Ideal,E,VVS1,62.0,56.0
0.94,Very Good,F,SI2,62.6,57.0
0.37,Ideal,E,VS2,60.1,59.0
0.71,Ideal,H,VS1,62.4,56.0
0.51,Premium,G,VVS2,60.9,61.0
2.01,Premium,I,VS2,60.5,60.0
1.01,Premium,G,VVS2,61.7,59.0
1.01,Very Good,E,VVS1,63.1,59.0
0.5,Premium,E,VS1,62.8,59.0
1.58,Good,I,VS1,58.6,62.0
0.6,Very Good,H,VVS1,61.5,56.0
1.2,Premium,E,VVS2,61.4,56.0
0.37,Premium,E,SI1,59.9,59.0
0.41,Ideal,F,VS1,62.0,56.0
1.56,Very Good,H,VVS2,63.3,58.0
0.9,Very Good,F,VS1,62.1,58.0
1.52,Very Good,H,VVS2,63.0,60.0
0.31,Premium,G,SI1,61.8,60.0
2.19,Good,G,SI1,63.7,56.0
0.34,Ideal,E,VS1,59.1,57.0
0.36,Ideal,J,VVS2,61.7,55.0
0.4,Good,D,VVS2,60.8,62.0
0.5,Premium,E,VS2,62.3,60.0
1.21,Very Good,H,SI1,62.2,56.0
0.8,Ideal,E,SI1,61.0,57.0
0.7,Very Good,E,VS2,62.4,58.0
0.9,Very Good,I,VS2,62.1,61.0
0.33,Ideal,G,VVS1,60.8,56.0
1.24,Ideal,F,VS1,62.2,55.0
0.71,Ideal,G,VS1,62.9,58.0
1.25,Very Good,H,SI2,63.2,60.0
1.22,Very Good,H,SI1,63.5,55.0
1.22,Premium,G,SI1,61.2,60.0
1.01,Good,D,SI1,58.3,59.0
0.82,Premium,E,SI1,62.5,56.0
0.43,Ideal,G,VVS2,60.9,57.0
1.52,Good,E,I1,57.3,58.0
0.9,Ideal,I,SI2,61.9,57.0
0.71,Fair,J,SI2,66.1,58.0
0.31,Premium,F,VS2,62.0,60.0
0.38,Ideal,E,VVS2,61.9,53.8
1.0,Premium,H,VS2,60.7,60.0
0.51,Premium,I,SI1,61.3,58.0
0.92,Ideal,E,SI1,62.1,56.0
0.36,Ideal,G,VVS1,62.8,57.0
0.51,Ideal,G,VS2,62.7,57.0
1.2,Premium,E,VS2,62.2,59.0
0.52,Premium,F,SI1,59.5,59.0
0.51,Ideal,J,VS2,62.5,57.0
1.01,Fair,D,SI2,64.6,56.0
0.34,Ideal,D,I1,61.4,55.0
1.0,Ideal,F,VS2,62.6,57.0
0.3,Ideal,G,VS1,61.9,56.0
0.9,Very Good,D,SI1,61.2,60.0
0.3,Good,E,VVS2,61.1,61.0
1.52,Very Good,I,SI2,59.8,62.0
0.6,Premium,D,SI1,60.4,60.0
0.55,Ideal,E,VS2,62.2,54.0
1.17,Good,H,SI2,63.8,58.0
0.3,Ideal,F,VVS1,61.5,56.0
0.51,Ideal,H,VVS2,61.0,57.0
0.38,Very Good,F,VS2,61.3,57.0
2.11,Fair,I,SI1,67.2,60.0
0.5,Ideal,F,VS2,62.0,56.0
0.32,Very Good,H,SI1,62.6,55.0
1.0,Premium,F,SI1,59.4,62.0
0.5,Ideal,G,VS2,62.2,54.1
1.12,Ideal,G,VS1,62.2,56.0
0.73,Very Good,E,VS2,62.9,58.0
1.06,Ideal,J,SI2,61.3,57.0
1.04,Ideal,F,VVS2,61.6,57.0
1.5,Fair,J,SI1,64.9,58.0
0.42,Ideal,E,VVS1,59.7,56.0
0.64,Premium,D,SI1,62.3,58.0
0.37,Premium,F,VS2,59.7,59.0
0.3,Ideal,G,IF,60.7,57.0
1.0,Premium,H,SI1,62.3,60.0
0.41,Premium,F,SI2,60.8,58.0
1.52,Ideal,E,SI1,62.2,53.0
1.51,Fair,G,SI2,65.5,55.0
0.33,Ideal,H,VVS1,62.1,53.0
0.57,Premium,I,VVS1,62.1,58.0
1.07,Good,D,SI2,61.0,62.0
1.25,Premium,G,VS1,61.8,58.0
1.05,Ideal,F,SI2,60.3,55.0
0.31,Very Good,G,SI1,63.0,58.0
0.52,Ideal,F,VS2,61.6,56.0
0.57,Premium,G,VVS2,60.2,60.0
0.32,Ideal,J,IF,62.2,55.0
0.7,Fair,D,SI2,65.5,57.0
1.2,Ideal,I,VS1,62.1,57.0
1.53,Ideal,I,SI2,61.4,58.0
1.51,Premium,H,SI1,59.9,60.0
0.7,Very Good,I,VS2,61.8,59.0
1.7,Ideal,F,VS2,62.3,56.0
1.25,Ideal,H,SI1,62.2,57.0
0.34,Good,E,SI1,63.5,55.0
1.5,Fair,H,SI1,68.0,59.0
0.7,Very Good,I,VVS2,63.0,58.0
0.24,Very Good,F,VS2,61.4,58.0
1.01,Very Good,F,VS2,63.2,59.0
1.71,Good,I,VS2,58.0,60.0
0.41,Premium,F,VVS2,60.6,58.0
0.81,Ideal,H,SI2,61.4,57.0
1.21,Ideal,G,VVS1,61.0,57.0
0.55,Ideal,E,SI1,62.3,56.0
0.52,Very Good,E,SI2,62.4,59.0
0.36,Ideal,G,VS1,62.3,57.0
0.41,Ideal,H,SI1,62.6,55.0
0.5,Very Good,F,SI1,62.7,61.0
0.7,Very Good,F,VVS1,63.0,60.0
1.2,Premium,F,SI2,62.6,58.0
1.5,Ideal,H,SI1,62.0,55.0
0.36,Ideal,G,VS1,61.1,55.0
0.25,Ideal,F,VVS1,60.9,57.0
0.7,Very Good,I,VVS2,58.6,60.0
1.26,Premium,I,SI1,62.0,58.0
0.4,Very Good,G,SI2,61.9,61.0
1.19,Premium,J,SI1,63.0,54.0
0.7,Ideal,H,VS1,61.7,55.0
0.5,Ideal,G,VVS2,60.5,55.0
0.3,Ideal,H,SI1,62.2,57.0
0.24,Ideal,F,VVS1,61.8,55.0
0.43,Premium,F,VS2,61.3,59.0
0.31,Good,I,SI1,63.8,55.0
1.44,Premium,I,VS1,62.6,59.0
0.42,Ideal,G,VS1,61.9,56.0
1.0,Premium,D,SI1,61.3,61.0
0.9,Very Good,F,SI2,63.4,60.0
1.25,Premium,H,SI1,60.7,58.0
1.68,Ideal,H,SI1,61.9,56.0
1.23,Ideal,G,VS1,61.8,58.0
0.26,Ideal,E,VVS2,61.6,57.0
1.0,Ideal,F,SI2,61.3,56.0
0.31,Ideal,F,IF,60.7,56.0
0.31,Premium,E,VVS1,61.5,58.0
1.35,Ideal,G,VS1,60.9,54.0
0.32,Ideal,D,VS2,61.0,57.0
0.72,Very Good,H,SI2,63.3,57.0
0.51,Ideal,E,VS2,61.9,55.0
0.41,Very Good,G,VS1,61.6,59.0
0.4,Very Good,G,VS1,61.5,57.0
0.26,Ideal,F,IF,60.9,55.0
0.52,Good,H,VS2,63.6,57.0
0.9,Very Good,G,VS2,61.3,59.0
0.44,Good,G,IF,58.5,61.0
0.52,Premium,D,VS2,60.9,58.0
0.31,Ideal,E,VVS2,61.1,56.0
1.01,Ideal,E,VS2,61.4,57.0
0.42,Ideal,J,VS1,60.9,57.0
1.12,Premium,I,SI1,61.3,58.0
1.01,Premium,I,VS2,62.5,58.0
0.5,Very Good,D,SI1,60.3,59.0
0.62,Ideal,F,VS1,61.2,54.0
0.3,Premium,I,VVS1,62.8,59.0
1.2,Very Good,F,VS2,61.1,59.0
0.71,Good,F,SI2,63.6,60.0
0.25,Very Good,E,VVS2,62.2,58.0
0.9,Good,I,IF,63.7,64.0
0.36,Ideal,F,VS2,62.0,55.0
0.32,Premium,H,VS2,61.9,58.0
0.55,Premium,E,SI2,61.9,58.0
1.59,Ideal,E,SI2,62.3,55.0
0.42,Premium,D,VVS2,59.6,59.0
0.74,Premium,G,SI1,59.6,59.0
1.05,Ideal,I,VVS2,61.8,53.0
0.52,Ideal,H,VVS1,61.7,53.0
1.2,Premium,H,VS1,62.7,58.0
0.25,Very Good,E,VS2,59.7,61.0
1.86,Very Good,J,VS2,62.5,55.0
0.3,Good,I,IF,63.3,57.0
1.01,Ideal,G,VS1,62.4,56.0
0.33,Very Good,F,VS2,63.2,56.0
0.78,Very Good,F,SI1,62.4,55.0
0.36,Ideal,F,IF,61.4,56.0
0.7,Premium,H,SI1,60.9,62.0
0.37,Ideal,I,SI1,60.7,60.0
0.55,Ideal,E,SI2,61.8,55.0
1.03,Premium,E,SI2,61.8,59.0
0.7,Very Good,E,VS2,60.5,59.0
0.72,Ideal,E,VVS1,61.6,56.0
0.34,Ideal,I,SI1,61.9,56.0
2.01,Very Good,E,SI2,63.3,61.0
0.32,Premium,F,VS2,61.7,58.0
2.09,Premium,H,SI2,61.0,60.0
0.96,Ideal,H,SI2,62.1,57.0
1.08,Ideal,I,VS2,61.8,54.2
1.52,Premium,I,VS2,59.0,59.0
0.7,Premium,E,SI2,62.9,59.0
1.35,Ideal,H,SI2,60.0,57.0
1.63,Ideal,F,I1,62.0,55.1
0.31,Premium,H,VS1,61.4,56.0
1.07,Ideal,G,VVS1,62.6,54.0
1.0,Premium,D,SI1,62.1,61.0
0.31,Good,D,SI1,63.5,56.0
0.74,Ideal,G,VVS2,60.7,56.0
1.0,Fair,H,SI2,66.1,56.0
2.08,Premium,I,SI2,62.3,58.0
0.34,Ideal,D,VS2,62.0,55.0
1.29,Premium,F,VS1,59.3,60.0
0.31,Premium,G,SI2,61.3,58.0
0.3,Good,D,SI1,63.3,55.0
0.24,Very Good,F,VS1,62.9,59.0
0.59,Very Good,E,SI2,60.5,58.0
0.71,Very Good,H,VS1,63.7,57.0
0.32,Very Good,F,SI2,63.5,56.0
1.02,Very Good,H,VS2,63.3,55.0
0.41,Ideal,D,VS2,62.8,55.0
0.92,Premium,I,VVS1,62.4,59.0
1.25,Very Good,I,SI1,62.1,58.0
0.41,Premium,F,VVS1,61.8,59.0
1.02,Very Good,E,IF,58.1,59.0
0.51,Very Good,I,VS1,62.5,59.0
1.26,Ideal,G,SI1,61.9,56.0
0.41,Ideal,F,VS1,62.3,55.0
1.0,Very Good,H,VS1,63.3,53.0
1.51,Very Good,J,VS2,60.2,59.0
2.42,Ideal,H,SI2,62.3,57.0
0.62,Ideal,D,SI1,60.8,59.0
0.42,Premium,G,VS2,60.1,61.0
0.37,Premium,F,SI1,62.4,59.0
0.51,Very Good,H,VS1,62.5,58.0
0.5,Fair,E,SI2,65.2,57.0
1.02,Premium,F,SI2,62.5,60.0
0.51,Ideal,D,SI2,62.5,55.0
1.02,Ideal,I,SI2,61.8,57.0
0.43,Ideal,G,IF,61.7,57.0
0.35,Premium,E,SI1,59.7,60.0
0.71,Ideal,H,IF,62.2,57.0
0.72,Premium,F,VS1,62.2,58.0
0.76,Ideal,F,SI2,61.1,55.0
0.25,Good,F,VS1,63.6,57.0
1.13,Premium,E,SI2,60.4,59.0
1.13,Premium,H,VS2,62.8,59.0
0.3,Ideal,H,VS2,62.3,54.0
1.52,Very Good,G,SI1,62.5,58.0
1.01,Very Good,G,VS1,63.1,57.0
0.5,Good,D,SI2,63.7,60.0
1.02,Ideal,G,SI2,61.4,54.0
1.31,Ideal,H,VS1,61.5,55.0
1.31,Ideal,G,VS1,61.5,57.0
0.26,Ideal,E,VVS2,61.5,56.0
0.36,Very Good,G,VS1,59.7,56.0
0.4,Ideal,D,VS2,61.3,56.0
1.03,Premium,E,VS2,62.5,59.0
1.51,Good,G,SI2,63.7,57.0
0.3,Very Good,F,VVS2,62.4,57.0
0.33,Ideal,F,VVS1,61.9,55.0
0.4,Ideal,G,VS2,62.5,54.0
0.33,Ideal,G,VS2,61.2,55.0
0.62,Premium,F,SI1,59.8,60.0
0.43,Ideal,F,VS2,61.1,56.0
0.76,Very Good,E,IF,61.9,56.0
0.35,Ideal,I,SI1,61.3,54.0
0.77,Very Good,H,SI1,60.4,58.0
1.04,Premium,H,SI2,58.6,60.0
1.01,Good,G,VS2,63.7,56.0
0.41,Ideal,G,IF,61.0,57.0
1.0,Good,I,SI1,65.6,56.0
0.37,Premium,E,VS2,61.8,59.0
0.42,Premium,G,VS1,62.5,59.0
0.4,Premium,F,VS2,60.7,60.0
0.3,Premium,E,VS2,61.9,59.0
0.44,Good,J,VS1,63.1,57.0
0.41,Ideal,E,SI1,62.6,57.0
0.32,Ideal,D,SI1,61.3,57.0
1.02,Ideal,G,VS1,61.3,56.0
2.01,Premium,I,SI2,63.0,56.0
0.33,Premium,G,VVS2,62.8,57.0
2.23,Very Good,J,VS2,61.0,58.0
0.42,Very Good,F,VVS1,63.0,59.0
1.5,Good,I,SI1,64.0,60.0
0.42,Premium,E,SI1,62.7,57.0
1.57,Very Good,J,VS2,60.2,59.0
1.01,Ideal,F,VS1,62.0,57.0
1.24,Premium,G,IF,60.5,58.0
0.29,Very Good,I,VS2,62.4,55.0
0.72,Premium,F,VS1,58.8,60.0
1.29,Very Good,J,SI2,63.5,57.0
0.58,Very Good,F,VVS2,62.6,56.0
1.0,Very Good,D,SI1,63.1,56.0
1.01,Good,E,SI1,58.1,59.0
0.76,Ideal,F,SI1,60.1,57.0
0.91,Premium,E,SI1,60.5,61.0
0.42,Very Good,D,SI1,63.3,58.0
0.43,Ideal,G,VVS1,62.0,55.0
1.03,Premium,G,SI2,60.6,60.0
1.68,Good,E,I1,64.3,60.0
0.32,Ideal,G,IF,61.6,55.0
1.02,Ideal,D,VS2,61.5,56.0
1.3,Very Good,I,SI1,62.3,58.0
1.5,Ideal,E,SI1,62.0,55.0
0.7,Ideal,J,VS2,62.0,58.0
0.45,Fair,F,VS1,66.9,54.0
0.41,Premium,G,VS1,62.3,56.0
1.5,Premium,F,VS2,61.5,58.0
1.21,Premium,J,SI1,59.7,60.0
0.7,Good,G,VVS1,58.5,62.0
0.41,Good,E,VS2,63.1,64.0
1.13,Very Good,F,VS1,61.6,58.0
0.31,Ideal,D,SI1,62.6,57.0
0.54,Premium,H,SI2,61.8,60.0
0.35,Ideal,D,VS2,60.9,57.0
1.12,Ideal,D,VS2,62.0,55.0
1.01,Very Good,G,VS2,62.5,57.0
1.17,Good,I,SI1,63.6,61.0
0.58,Ideal,F,VS1,59.9,59.0
1.01,Very Good,I,SI1,62.1,59.0
0.36,Ideal,F,VS2,62.0,54.0
0.3,Ideal,G,IF,61.6,53.0
1.21,Premium,I,VS2,62.2,59.0
0.54,Very Good,E,VS2,63.1,58.0
0.41,Good,F,SI1,63.5,56.0
1.28,Ideal,H,VS2,62.3,56.0
0.81,Premium,J,VS1,61.7,61.0
1.5,Very Good,H,SI1,61.0,55.0
0.31,Good,G,VVS1,63.5,57.0
0.31,Ideal,H,VS2,61.5,54.0
1.22,Ideal,G,VS2,62.0,55.0
2.06,Ideal,G,SI2,62.3,56.0
0.31,Premium,G,VS1,59.6,61.0
0.3,Premium,E,SI2,61.5,62.0
0.41,Ideal,J,VS2,61.7,55.0
0.3,Premium,I,VS1,61.9,59.0
0.32,Ideal,D,SI1,62.7,54.0
0.7,Very Good,F,VS2,62.4,59.0
0.56,Premium,G,VS2,60.9,58.0
1.74,Good,H,SI1,60.6,62.0
0.32,Ideal,H,VS1,62.1,55.0
0.4,Ideal,D,VS2,61.5,55.0
0.91,Good,D,SI2,64.7,57.0
0.38,Premium,E,VS1,60.7,59.0
1.02,Premium,G,VVS2,62.2,60.0
0.76,Good,I,SI1,64.1,59.0
0.42,Good,D,SI2,60.7,61.0
0.31,Ideal,G,VVS1,61.9,55.0
0.41,Ideal,E,VVS1,61.3,56.0
0.42,Ideal,G,VVS1,61.9,56.0
0.53,Ideal,D,VS2,61.2,56.0
0.81,Good,F,SI1,64.3,53.0
0.72,Very Good,G,SI2,63.4,57.0
0.5,Good,F,SI1,57.9,62.0
1.53,Ideal,H,SI1,61.1,57.0
1.06,Premium,E,VS2,61.3,58.0
0.27,Very Good,D,VS2,62.0,57.0
0.33,Ideal,G,IF,62.7,56.0
1.68,Very Good,G,VS2,62.7,58.0
0.58,Ideal,E,SI2,61.4,57.1
1.17,Premium,F,SI2,59.9,59.0
0.32,Ideal,D,VS2,62.1,54.0
2.01,Premium,I,SI1,62.4,61.0
1.19,Good,H,VS1,60.8,61.0
0.9,Fair,G,VS2,65.8,61.0
0.31,Ideal,E,VVS2,61.6,55.0
1.18,Ideal,E,SI2,60.9,57.0
1.0,Ideal,D,SI1,61.9,57.0
1.04,Very Good,G,VVS2,62.8,54.0
0.51,Premium,F,VVS2,61.9,56.0
0.73,Ideal,G,VVS2,62.4,57.0
1.01,Ideal,I,SI1,60.2,59.0
0.29,Very Good,E,VS1,61.4,61.0
0.41,Good,I,VS1,60.1,60.1
0.31,Ideal,E,IF,61.9,56.0
0.3,Ideal,E,VVS2,61.9,59.0
0.52,Ideal,F,SI1,61.6,57.0
1.08,Good,E,SI2,63.7,57.0
0.9,Premium,D,SI1,61.2,60.0
0.81,Ideal,J,VS1,62.3,57.0
0.3,Ideal,H,VVS2,61.5,55.0
1.52,Premium,J,VS1,62.4,59.0
0.33,Ideal,D,SI1,61.3,56.0
0.9,Very Good,I,VS1,62.0,61.0
1.32,Fair,F,VVS1,58.0,66.0
0.74,Very Good,H,SI2,63.1,55.0
0.5,Ideal,E,VS2,62.0,56.0
1.06,Very Good,E,SI2,62.1,56.0
0.32,Ideal,E,VS1,61.7,56.0
1.7,Ideal,H,I1,62.6,54.0
0.32,Ideal,I,VS2,61.5,54.0
1.06,Premium,D,SI1,61.1,59.0
1.51,Premium,E,SI1,58.3,59.0
1.05,Ideal,I,VVS2,61.8,54.0
0.43,Ideal,D,VS2,61.8,56.0
0.24,Premium,H,VVS1,60.8,59.0
0.71,Premium,F,SI1,61.1,62.0
0.4,Premium,E,VS1,60.1,58.0
1.21,Ideal,G,VS2,62.0,56.0
0.7,Ideal,I,VS1,63.1,54.0
0.96,Fair,H,I1,66.9,60.0
0.76,Ideal,G,VS2,61.7,55.0
0.41,Good,G,SI1,63.4,57.0
0.32,Ideal,G,VS1,61.6,56.0
1.21,Good,E,VS1,61.7,58.0
0.4,Good,E,SI2,61.2,61.0
0.42,Ideal,H,VVS1,62.4,55.0
0.55,Very Good,F,VS2,62.5,56.0
1.01,Very Good,G,VS1,63.6,57.0
0.53,Ideal,F,VS1,61.7,55.0
0.59,Very Good,E,VS1,61.2,58.0
1.05,Very Good,E,VS1,59.8,59.0
0.3,Premium,I,VS1,61.7,58.0
0.4,Premium,D,VVS2,60.4,59.0
0.24,Very Good,F,VVS1,60.6,60.0
0.3,Premium,F,VS1,61.5,59.0
0.32,Ideal,G,VVS2,61.2,56.0
1.21,Premium,J,VVS1,61.3,59.0
0.9,Good,H,SI1,63.8,57.0
