company,type,inches,cpu,gpu,op_sys,price_EUR,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
Dell,Notebook,17.3,Intel Core i7,AMD Radeon 5,Windows,1299.0,0,FullHD,16,256,2048,2.8
Dell,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,879.0,0,FullHD,8,256,0,1.7
Lenovo,Notebook,14.0,Intel Core i3,Intel HD,No OS,599.0,0,FullHD,8,256,0,1.7
Asus,Notebook,14.0,Intel Core i5,Intel HD,Windows,941.0,0,FullHD,8,256,0,1.4
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,690.0,0,FullHD,8,256,0,1.86
Asus,Ultrabook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1983.0,0,FullHD,16,512,0,1.8
HP,Notebook,15.6,Intel Core i3,AMD Radeon 5,Windows,438.69,0,HD,4,0,500,1.86
HP,Notebook,14.0,Intel Celeron,Intel HD,Windows,229.0,0,HD,4,32,0,1.44
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,549.0,0,FullHD,4,0,1024,1.9
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Linux,949.0,0,FullHD,12,0,1024,3.0
Other,Ultrabook,13.5,Intel Core i5,Intel HD,Windows,1089.0,1,FullHD,4,128,0,1.252
Dell,Ultrabook,13.3,Intel Core i7,AMD Radeon 5,Windows,955.0,0,FullHD,8,256,0,1.4
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,870.0,0,FullHD,8,256,0,2.2
MSI,Gaming,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,1095.0,0,FullHD,8,128,1024,2.7
Acer,Notebook,14.0,Intel Core i3,Intel HD,Windows,389.0,0,HD,8,0,1024,2.1
Asus,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,949.0,0,FullHD,8,0,1024,2.2
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,No OS,519.0,0,FullHD,8,0,2048,2.2
Dell,Notebook,15.6,Intel Core i7,Intel HD,Windows,855.0,0,FullHD,8,128,1024,2.02
Acer,Notebook,15.6,Intel Core i3,Nvidia GeForce,Windows,530.0,0,FullHD,4,0,1024,2.2
HP,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,977.0,0,FullHD,8,128,1024,2.5
Dell,Ultrabook,15.6,Intel Core i5,Intel HD,Windows,1096.16,0,FullHD,8,256,0,1.88
Apple,Ultrabook,12.0,Intel Core i5,Intel HD,Other,1510.0,0,FullHD,8,512,0,0.92
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,860.0,0,FullHD,8,256,0,1.63
Lenovo,Notebook,15.6,AMD,Other,Windows,399.0,0,FullHD,4,128,0,2.2
Acer,Notebook,15.6,AMD,AMD Radeon R,Windows,395.0,0,HD,4,0,1024,2.1
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1349.0,0,FullHD,16,128,1024,2.65
HP,Ultrabook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,699.0,0,FullHD,8,256,0,1.83
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,598.99,0,FullHD,8,256,0,1.96
Asus,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1449.0,0,FullHD,16,128,1024,2.2
Dell,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1649.0,0,FullHD,8,256,0,1.21
Asus,Gaming,15.6,AMD,AMD Radeon R,Windows,699.0,0,FullHD,8,0,1024,2.45
Acer,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,689.0,0,FullHD,8,0,1024,2.2
HP,Notebook,13.3,Intel Core i7,Intel HD,Windows,1197.0,0,FullHD,16,512,0,1.49
Dell,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,1195.0,0,FullHD,8,256,0,2.65
Asus,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,1049.0,0,FullHD,8,256,0,1.25
Acer,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,847.0,1,FullHD,8,256,0,1.5
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Linux,599.9,0,FullHD,8,0,1024,2.2
Dell,Notebook,15.6,Intel Core i3,AMD Radeon R,Linux,485.0,0,FullHD,4,256,0,2.2
Asus,Notebook,15.6,Intel Core i3,Nvidia GeForce,Windows,577.0,0,FullHD,6,256,0,2.0
HP,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1249.0,0,FullHD,12,128,1024,2.62
HP,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,719.0,0,FullHD,8,256,0,1.91
HP,Notebook,15.6,AMD,AMD Radeon R,Windows,349.0,0,FullHD,4,0,500,2.1
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Linux,647.0,0,FullHD,8,0,1024,2.2
HP,Ultrabook,13.3,Intel Core i7,Nvidia GeForce,Windows,1119.0,0,FullHD,8,256,0,1.38
Other,Ultrabook,13.5,Intel Core i5,Intel HD,Windows,1340.0,1,FullHD,8,256,0,1.252
HP,Notebook,14.0,Intel Core i5,Nvidia GeForce,Windows,659.0,0,FullHD,6,256,0,1.58
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,414.9,0,FullHD,4,0,1024,1.85
Asus,Ultrabook,14.0,Intel Core i7,Nvidia GeForce,Windows,1193.0,0,FullHD,8,256,0,1.3
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1299.0,0,FullHD,16,256,1024,2.2
Lenovo,Notebook,14.0,Intel Core i7,Intel HD,Windows,1480.0,0,FullHD,8,256,0,1.58
Asus,Ultrabook,15.6,Intel Core i7,Nvidia GeForce,Windows,1262.0,0,FullHD,16,256,1024,1.5
Dell,Ultrabook,13.3,Intel Core i7,Other,Windows,1379.0,1,QuadHD,8,256,0,1.23
Lenovo,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1399.0,1,FullHD,8,256,0,1.37
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,722.0,0,HD,4,0,500,1.63
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,1629.0,0,FullHD,8,256,0,1.21
HP,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1398.99,1,FullHD,8,256,0,1.26
HP,Notebook,14.0,Intel Core i7,Intel HD,Windows,1084.0,0,FullHD,8,512,0,1.63
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,1130.33,0,FullHD,8,256,1024,2.16
Asus,Notebook,17.3,Intel Core i3,Nvidia GeForce,Windows,564.0,0,FullHD,4,0,1024,2.0
Asus,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,1118.0,0,FullHD,8,256,0,1.7
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,479.0,1,FullHD,6,0,1024,2.1
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,2241.5,0,FullHD,16,256,2048,1.8
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce,No OS,629.0,0,FullHD,8,256,0,2.2
HP,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,1271.0,0,FullHD,16,512,0,2.5
Acer,Notebook,15.6,AMD,AMD Radeon R,Windows,451.0,0,HD,4,256,0,2.1
HP,Notebook,15.6,Intel Celeron,Intel HD,No OS,259.0,0,HD,4,0,500,1.86
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,812.0,0,FullHD,8,0,1024,1.63
Asus,Notebook,14.0,AMD,AMD Radeon R,Windows,277.99,0,HD,4,64,0,1.65
Dell,Notebook,17.3,Intel Core i7,AMD Radeon 5,Windows,1396.0,0,FullHD,16,256,2048,2.8
HP,Notebook,17.3,Intel Core i5,Intel HD,Windows,928.0,0,FullHD,8,256,0,2.5
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,638.99,0,HD,8,0,1024,2.36
Dell,Notebook,15.6,Intel Core i3,AMD Radeon R,Windows,449.0,0,FullHD,4,0,1024,2.2
Acer,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,884.0,0,FullHD,8,256,0,1.6
Acer,Notebook,15.6,Intel Core i3,Nvidia GeForce,Windows,572.0,0,FullHD,4,256,0,2.2
HP,Notebook,15.6,Intel Core i7,Intel HD,Windows,598.0,0,HD,8,0,1024,2.05
HP,Notebook,14.0,Intel Core i7,Intel HD,Windows,988.0,0,FullHD,8,256,0,1.63
Lenovo,Notebook,15.6,Intel Celeron,Intel HD,No OS,252.36,0,HD,4,0,1024,1.9
Asus,Gaming,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,938.0,0,FullHD,8,128,1024,3.0
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce,No OS,499.0,0,FullHD,4,0,1024,2.2
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,699.0,0,FullHD,4,256,0,1.32
Acer,Notebook,17.3,Intel Core i3,Nvidia GeForce,Windows,655.0,0,FullHD,4,0,1024,3.0
Lenovo,Notebook,14.0,Intel Core i5,AMD Radeon R,Windows,1116.02,0,FullHD,8,256,0,1.75
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,No OS,869.0,0,FullHD,8,256,0,2.4
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,602.0,0,HD,4,0,500,2.1
HP,Notebook,15.6,AMD,AMD Radeon R,Windows,369.0,0,HD,4,256,0,1.86
Asus,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,1099.0,0,FullHD,8,256,0,1.25
HP,Ultrabook,12.5,Intel Core M,Intel HD,Windows,2014.0,1,UHD,8,512,0,0.97
Asus,Notebook,15.6,Intel Celeron,Intel HD,Windows,344.0,0,FullHD,4,0,1024,2.0
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,2029.0,0,FullHD,16,256,1024,2.9
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,447.0,0,HD,4,0,1024,2.1
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1249.26,0,FullHD,16,512,0,2.56
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,899.0,0,FullHD,8,0,0,2.62
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,498.0,0,HD,4,128,0,1.9
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,1890.0,0,FullHD,16,256,1024,2.8
HP,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,1082.0,0,FullHD,4,256,0,1.48
HP,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,619.0,0,FullHD,6,256,0,1.91
Lenovo,2 in 1 Convertible,14.0,Intel Core i3,Intel HD,Windows,629.0,1,FullHD,4,256,0,1.74
Asus,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1315.0,1,FullHD,8,256,0,1.1
Dell,2 in 1 Convertible,15.6,Intel Core i7,Intel HD,Windows,1049.0,1,FullHD,8,256,0,1.56
Toshiba,Notebook,15.6,Intel Core i3,Intel HD,Windows,447.0,0,HD,4,0,500,2.1
Asus,Notebook,15.6,AMD,AMD Radeon R,Windows,403.0,0,HD,4,0,1024,2.03
Acer,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,805.0,0,FullHD,4,256,0,3.0
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,728.0,0,FullHD,8,256,0,2.13
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1079.0,0,FullHD,16,256,0,2.5
Acer,Notebook,15.6,Intel Celeron,Intel HD,Windows,348.0,0,HD,4,0,1024,2.1
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1799.0,0,FullHD,16,256,1024,2.4
Acer,Notebook,15.6,Intel Pentium,Intel HD,Windows,363.51,0,HD,4,0,1024,2.1
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1060.49,0,FullHD,8,128,1024,2.56
Acer,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,854.0,0,FullHD,8,256,0,3.0
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,754.0,0,FullHD,4,0,500,1.49
Other,Ultrabook,13.0,Intel Core i5,Intel HD,Windows,1349.0,0,FullHD,8,256,0,1.05
HP,Notebook,17.3,Intel Core i5,AMD Radeon 5,Windows,699.0,0,FullHD,6,0,2048,2.71
Lenovo,Notebook,15.6,AMD,AMD Radeon R,No OS,309.0,0,HD,4,0,500,2.2
Toshiba,Notebook,15.6,Intel Core i3,Intel HD,Windows,489.0,0,HD,4,0,500,2.0
HP,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,923.0,0,FullHD,8,256,0,2.5
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,459.0,0,HD,8,0,1024,2.3
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,449.0,0,HD,4,128,0,2.1
MSI,Gaming,18.4,Intel Core i7,Nvidia GeForce GTX,Windows,2799.0,0,FullHD,32,512,1024,4.4
Lenovo,Notebook,15.6,Intel Core i5,Other,Windows,813.0,0,FullHD,8,128,1024,1.9
HP,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1499.0,1,UHD,8,256,0,1.29
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Linux,1049.0,0,FullHD,16,256,2048,2.02
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,1399.0,0,FullHD,8,256,0,1.23
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,Intel HD,Windows,1849.0,1,UHD,16,512,0,1.4
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,793.0,0,HD,8,128,0,2.0
Other,Notebook,15.6,Intel Core i5,Nvidia GeForce,No OS,1199.0,0,FullHD,8,256,0,1.95
Dell,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,1549.0,1,FullHD,16,512,0,2.77
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,2397.0,1,UHD,16,512,0,2.06
Lenovo,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,No OS,779.0,0,FullHD,8,256,0,2.4
Acer,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,989.0,0,FullHD,8,256,0,1.12
Dell,Notebook,17.3,Intel Core i7,AMD Radeon 5,Windows,1085.0,0,FullHD,8,128,1024,2.8
Lenovo,2 in 1 Convertible,14.0,Intel Core i7,Intel HD,Windows,2824.0,1,QuadHD,16,1024,0,1.42
Other,Notebook,14.0,Intel Celeron,Intel HD,Windows,260.0,0,FullHD,4,0,0,1.3
Other,Ultrabook,13.3,Intel Core i5,Nvidia GeForce,No OS,999.9,0,FullHD,8,256,0,1.3
Lenovo,Notebook,17.3,Intel Core i5,Nvidia GeForce,No OS,698.0,0,HD,8,256,0,2.8
Dell,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,839.0,1,FullHD,8,0,1024,1.62
HP,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,914.0,0,FullHD,8,0,1024,2.5
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,959.0,0,FullHD,8,512,0,1.49
HP,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,1379.0,0,FullHD,16,256,1024,3.35
HP,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,1045.0,0,FullHD,8,256,0,2.5
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1845.0,0,UHD,16,512,1024,2.65
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,493.0,0,HD,4,128,0,2.1
Acer,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,742.0,0,FullHD,8,0,1024,2.23
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1749.0,0,FullHD,16,512,1024,3.2
Dell,Workstation,15.6,Other,Nvidia Quadro,Windows,3055.0,0,UHD,16,256,1024,2.8
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,No OS,1398.0,0,FullHD,16,512,0,2.4
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,439.0,1,HD,6,0,1024,2.3
Dell,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1949.0,1,UHD,8,256,0,1.21
Dell,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1449.0,0,FullHD,8,256,0,1.2
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,597.0,0,HD,8,256,0,2.2
Acer,Notebook,15.6,Intel Core i7,Nvidia GeForce GTX,Linux,779.0,0,FullHD,8,0,1024,2.4
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,1407.0,0,FullHD,16,256,1024,2.9
HP,Notebook,15.6,Intel Core i3,Intel HD,No OS,349.0,0,FullHD,4,0,500,2.1
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,No OS,549.0,0,FullHD,8,256,0,2.2
Other,Ultrabook,13.0,Intel Core i7,Intel HD,Windows,1499.0,0,FullHD,8,512,0,1.05
Dell,Ultrabook,13.3,Intel Core i7,AMD Radeon 5,Windows,931.88,0,FullHD,8,256,0,1.4
Lenovo,Notebook,17.3,Intel Core i5,Nvidia GeForce GTX,No OS,589.0,0,HD,8,0,1024,2.8
HP,Notebook,14.0,Intel Core i7,Nvidia GeForce,Windows,1031.0,0,FullHD,8,256,0,1.63
Dell,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,1149.0,0,FullHD,8,256,0,1.6
Dell,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1279.0,1,FullHD,16,512,0,1.62
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Linux,677.35,0,FullHD,8,256,0,2.2
Lenovo,2 in 1 Convertible,14.0,Intel Core i5,Intel HD,Windows,899.0,0,FullHD,8,256,0,1.74
Toshiba,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1363.0,0,FullHD,8,256,0,1.2
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,794.0,0,FullHD,8,0,1024,2.1
Dell,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,2456.34,0,FullHD,16,256,1024,4.42
Acer,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,832.0,0,FullHD,8,256,0,2.2
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,859.01,1,FullHD,16,0,1024,2.3
Asus,Notebook,15.6,Intel Core i5,Nvidia GeForce,Windows,769.0,0,FullHD,8,256,0,2.0
Asus,Notebook,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,891.0,0,FullHD,8,256,500,2.69
HP,Notebook,15.6,Intel Core i7,Other,Windows,1269.0,0,FullHD,8,0,1024,1.9
Asus,Notebook,15.6,Intel Core i3,Intel HD,Windows,398.99,0,HD,4,0,1024,2.37
HP,Notebook,15.6,AMD,AMD Radeon R,Windows,330.0,0,HD,4,0,500,2.1
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1499.0,0,FullHD,16,256,1024,3.2
Dell,Notebook,14.0,Intel Core i5,Intel HD,Windows,859.0,0,FullHD,8,256,0,1.6
Acer,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,689.0,1,FullHD,8,256,0,1.6
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Linux,899.0,0,FullHD,16,256,0,2.36
Acer,Notebook,15.6,Intel Core i3,Intel HD,Linux,390.0,0,HD,4,0,1024,2.1
Asus,Notebook,15.6,AMD,AMD Radeon R,Windows,575.0,0,FullHD,4,128,1024,2.2
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,3890.0,0,FullHD,32,512,1024,4.7
Acer,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,846.0,0,FullHD,8,256,0,2.5
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,589.0,0,HD,8,128,0,2.2
Asus,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,1145.0,0,FullHD,8,128,1024,2.1
Asus,Notebook,17.3,Intel Core i7,Nvidia GeForce GTX,No OS,889.0,0,FullHD,8,128,1024,2.69
Dell,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,879.0,0,FullHD,8,256,0,2.56
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,Intel HD,Windows,1079.0,1,FullHD,8,256,0,1.38
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,985.0,0,FullHD,8,128,2048,2.2
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,559.0,1,HD,8,0,1024,2.04
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,2999.0,0,FullHD,16,256,0,3.6
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,675.0,0,FullHD,4,0,500,1.49
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,2040.0,0,QuadHD,8,512,0,1.37
Dell,2 in 1 Convertible,15.6,Intel Core i7,Intel HD,Windows,819.0,1,FullHD,8,0,1024,2.08
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,1799.0,0,FullHD,16,256,1024,4.3
Asus,Notebook,15.6,AMD,AMD Radeon R,Windows,469.0,0,HD,4,0,1024,1.68
